hunt_code,hunt_name,species,residency,hunt_class,permits_2026_total,change_flags,recommended_review
BI6539,Henry Mtns,Bison,Nonresident,Antlerless,11,new_hunts_2026|harvest_missing|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
BI6539,Henry Mtns,Bison,Resident,Antlerless,11,new_hunts_2026|harvest_missing|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
BR7021,Dolores Triangle,Black Bear,Nonresident,,2,new_hunts_2026|harvest_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
BR7021,Dolores Triangle,Black Bear,Resident,,2,new_hunts_2026|harvest_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
BR7022,La Sal Mtns,Black Bear,Nonresident,,43,new_hunts_2026|harvest_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
BR7022,La Sal Mtns,Black Bear,Resident,,43,new_hunts_2026|harvest_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
BR7126,Dolores Triangle,Black Bear,Nonresident,,6,new_hunts_2026|harvest_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
BR7126,Dolores Triangle,Black Bear,Resident,,6,new_hunts_2026|harvest_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
BR7127,La Sal Mtns,Black Bear,Nonresident,,27,new_hunts_2026|harvest_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
BR7127,La Sal Mtns,Black Bear,Resident,,27,new_hunts_2026|harvest_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
BR7238,Dolores Triangle,Black Bear,Nonresident,,2,new_hunts_2026|harvest_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
BR7238,Dolores Triangle,Black Bear,Resident,,2,new_hunts_2026|harvest_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
BR7239,La Sal Mtns,Black Bear,Nonresident,,6,new_hunts_2026|harvest_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
BR7239,La Sal Mtns,Black Bear,Resident,,6,new_hunts_2026|harvest_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
BR7326,La Sal Mtns,Black Bear,Nonresident,,14,new_hunts_2026|harvest_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
BR7326,La Sal Mtns,Black Bear,Resident,,14,new_hunts_2026|harvest_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DB0007,Buck Deer - Statewide Permit,Deer,Nonresident,Statewide Permit,1,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DB0007,Sportsman Deer,Deer,Resident,Statewide Permit,1,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DB1109,Thousand Lakes,Deer,Nonresident,Limited Entry,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DB1109,Thousand Lakes,Deer,Resident,Limited Entry,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DB1121,Antelope Island,Deer,Nonresident,Management,2,new_hunts_2026|harvest_missing|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DB1121,Antelope Island,Deer,Resident,Management,2,new_hunts_2026|harvest_missing|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DB1351,The Dirty Dozen,Deer,Nonresident,CWMU,2,new_hunts_2026|harvest_missing|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DB1351,The Dirty Dozen,Deer,Resident,CWMU,2,new_hunts_2026|harvest_missing|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DS1000,Desert Bighorn Sheep - Statewide Permit,Desert Bighorn Sheep,Nonresident,,1,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DS1000,Desert Bighorn Sheep - Statewide Permit,Desert Bighorn Sheep,Resident,,1,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DS1002,"Kaiparowits, East",Desert Bighorn Sheep,Nonresident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DS1002,"Kaiparowits, East",Desert Bighorn Sheep,Resident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DS1003,"Kaiparowits, Escalante East/West",Desert Bighorn Sheep,Nonresident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DS1003,"Kaiparowits, Escalante East/West",Desert Bighorn Sheep,Resident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DS1004,"San Rafael, Dirty Devil",Desert Bighorn Sheep,Nonresident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DS1004,"San Rafael, Dirty Devil",Desert Bighorn Sheep,Resident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DS1006,"Kaiparowits, West",Desert Bighorn Sheep,Nonresident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DS1006,"Kaiparowits, West",Desert Bighorn Sheep,Resident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DS1007,"San Rafael, South",Desert Bighorn Sheep,Nonresident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DS1007,"San Rafael, South",Desert Bighorn Sheep,Resident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DS6605,"Pine Valley, Beaver Dam",Desert Bighorn Sheep,Nonresident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
DS6605,"Pine Valley, Beaver Dam",Desert Bighorn Sheep,Resident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA1220,Manti (Expo),Elk,Nonresident,Antlerless,,new_hunts_2026|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA1220,Manti (Expo),Elk,Resident,Antlerless,,new_hunts_2026|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA1221,Fishlake/Thousand Lake (Expo),Elk,Nonresident,Antlerless,,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA1221,Fishlake/Thousand Lake (Expo),Elk,Resident,Antlerless,,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA1258,La Sal (Expo),Elk,Nonresident,Antlerless,,new_hunts_2026|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA1258,La Sal (Expo),Elk,Resident,Antlerless,,new_hunts_2026|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2002,Morgan-South Rich,Elk,Nonresident,Antlerless,600,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2002,Morgan-South Rich,Elk,Resident,Antlerless,600,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2003,East Canyon,Elk,Nonresident,Antlerless,500,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2003,East Canyon,Elk,Resident,Antlerless,500,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2004,Chalk Creek,Elk,Nonresident,Antlerless,600,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2004,Chalk Creek,Elk,Resident,Antlerless,600,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2005,"North Slope, West Daggett",Elk,Nonresident,Antlerless,100,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2005,"North Slope, West Daggett",Elk,Resident,Antlerless,100,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2006,Yellowstone,Elk,Nonresident,Antlerless,2000,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
