hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,NOTES
Rocky Mountain Bighorn Sheep - Statewide Permit,RS0001,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Statewide,"Sept 1 - Dec 31, 2026",,,,"User-provided current Utah DWR Hunt Planner row; permit count carried from canonical DATABASE.csv when populated."
Antelope Island Conservation,RS1000,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,"Nov 9 2026 - Nov 16 2026",,,,"User-provided current Utah DWR Hunt Planner row; no split permit count provided in prompt."
"Book Cliffs, South",RS1001,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Conservation,"Nov 1 - Dec 31, 2025",,,,"User-provided current Utah DWR Hunt Planner conservation row; permit count carried from canonical DATABASE.csv when populated."
"Box Elder, Newfoundland Mtn",RS1003,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Conservation,"Oct 25 - Dec 31, 2025",,,,"User-provided current Utah DWR Hunt Planner conservation row; permit count carried from canonical DATABASE.csv when populated."
"Nine Mile, Gray Canyon",RS1006,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Conservation,"Nov 1 - Dec 31, 2025",,,,"User-provided current Utah DWR Hunt Planner conservation row; permit count carried from canonical DATABASE.csv when populated."
Antelope Island,RS6700,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,"Nov 11, 2026 - Nov 18, 2026",2,0,2,"User-provided current Utah DWR Hunt Planner row."
"Book Cliffs, South",RS6701,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,"Oct 31 2026 - Nov 30 2026",5,1,6,"User-provided current Utah DWR Hunt Planner row."
"Box Elder, Newfoundland Mtn",RS6703,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,"Oct 03 2026 - Oct 23 2026",4,0,4,"User-provided current Utah DWR Hunt Planner row."
"Box Elder, Newfoundland Mtn",RS6704,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,"Oct 24 2026 - Nov 13 2026",3,1,4,"User-provided current Utah DWR Hunt Planner row."
"North Slope, Three Corners",RS6708,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,"Sept 14 2026 - Nov 30 2026",2,0,2,"User-provided current Utah DWR Hunt Planner row."
"North Slope, Summit/West Daggett",RS6709,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,"Sept 14 2026 - Nov 30 2026",3,0,3,"User-provided current Utah DWR Hunt Planner row."
"Nine Mile, Gray Canyon",RS6712,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,"Oct 31 2026 - Nov 30 2026",4,2,6,"User-provided current Utah DWR Hunt Planner row."
"Nine Mile, Jack Creek",RS6713,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,"Oct 31 2026 - Nov 30 2026",4,0,4,"User-provided current Utah DWR Hunt Planner row."
"Fillmore, Oak Creek",RS6720,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,"Oct 03 2026 - Oct 23 2026",4,0,4,"User-provided current Utah DWR Hunt Planner row."
"Oquirrh-Stansbury, West",RS6721,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,"Oct 31 2026 - Nov 30 2026",3,0,3,"User-provided current Utah DWR Hunt Planner row."
"Box Elder, Newfoundland Mtn",RS6722,Ram,Rocky Mountain Bighorn Sheep,Archery,Once-in-a-lifetime,"Nov 14 2026 - Dec 06 2026",2,0,2,"User-provided current Utah DWR Hunt Planner row."
"Wasatch Mtns, West",RS6724,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,"Oct 31 2026 - Nov 30 2026",3,0,3,"User-provided current Utah DWR Hunt Planner row."
Nebo,RS6725,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,"Oct 31 2026 - Nov 30 2026",2,0,2,"User-provided current Utah DWR Hunt Planner row."
"Fillmore, Oak Creek",RS6726,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,"Oct 24 2026 - Nov 13 2026",3,1,4,"User-provided current Utah DWR Hunt Planner row."
"Fillmore, Oak Creek",RS6727,Ram,Rocky Mountain Bighorn Sheep,Archery,Once-in-a-lifetime,"Nov 14 2026 - Dec 06 2026",2,0,2,"User-provided current Utah DWR Hunt Planner row."
"Box Elder, Newfoundland Mtn",RE1000,Ewe,Rocky Mountain Bighorn Sheep,Any Legal Weapon,General Season,"Sep 08 2025 - Sep 16 2025",4,1,5,"User-provided current Utah DWR Hunt Planner ewe row; DATABASE.csv carries the 2026 season date."
