evidence_domain,source_dataset,source_path,exists,source_rows,evidence_rows_used,source_size_bytes,headers
draw_results,draw_reality_engine,processed_data/draw_reality_engine.csv,true,36912,36912,22351842,hunt_code | year | residency | points | eligible_applicants | total_drawn | bonus_permits | regular_permits | total_permits | status | success_ratio | hunt_name | hunt_class | source_file | page_number | p_draw_percent | permits_2026_res | permits_2026_nr | permits_2026_total | permits_2026_conservation | permits_2026_expo | permits_2026_sportsman | permit_status | permit_allocation_type | special_permit_area_id | special_permit_category | special_permit_note | special_permit_overlay_source | permit_source_authority | permit_note | permit_overlay_source | data_status | permits_2026_source | permits_2026_draw_res | permits_2026_draw_nr | permits_2026_draw_total | permits_2026_draw_source | draw_2026_system_type | public_permits_2026 | public_permits_2026_source | permits_2025_draw_res | permits_2025_draw_nr | permits_2025_draw_total | draw_2025_bg_pdf_page | draw_2025_bg_report_page | draw_2025_type | permits_2025_draw_source | permits_2025_res | permits_2025_nr | permits_2025_total | permits_2025_source | boundary_id | draw_pool | permit_source | quota_source | truth_source_file | truth_source_status | data_quality_grade | reason_codes | hunt_category | draw_model_class | probability_model | availability_status | new_this_year | permit_allotment_2026_res | permit_allotment_2026_nr | permit_allotment_2026_total | permit_allotment_2026_source | permit_allotment_2026_source_file | permit_allotment_2026_status
draw_results,draw_reality_engine_v2,processed_data/draw_reality_engine_v2.csv,true,176753,176753,44863034,hunt_code | boundary_id | hunt_name | species | sex_type | hunt_type | weapon | hunt_class | season | year | draw_pool | residency | points | eligible_applicants | bonus_permits | regular_permits | total_permits | success_ratio | source_file | source_pdf_page | source_report_page | source_sha256 | validation_status | validation_notes
prediction,draw_reality_engine_predictive_v2,processed_data/draw_reality_engine_predictive_v2.csv,true,26387,26387,26138522,year | forecast_year | hunt_code | hunt_name | species | sportsman_species | sex_type | hunt_type | hunt_class | residency | points | draw_pool | sportsman_source_year | sportsman_permit_count | sportsman_applicants | sportsman_odds_text | sportsman_odds_denominator | p_sportsman_draw | p_draw | p_draw_pct | p_bonus_pool | p_random_pool | p_preference_draw | source_years_used | source_year_count | latest_source_year | earliest_source_year | source_dataset | model_strategy | draw_system_type | sportsman_valid | sportsman_model_note | draw_outlook | sportsman_residency_scope | sportsman_source_file | season_dates | weapon | algorithm_status | target_scope | modeled_by_engine | reason | model_version | rule_version | public_permits_2025 | public_permits_2026 | max_point_permits_2025 | max_point_permits_2026 | random_permits_2025 | random_permits_2026 | applicants_above | applicants_at_level | p_draw_mean | p_max_pool_mean | p_random_mean | point_pool_zone | quota_source_status | quota_source_year | quota_source_file | quota_2026_total | quota_2026_max_pool | quota_2026_random_pool | permit_allotment_2026_res | permit_allotment_2026_nr | permit_allotment_2026_total | permit_allotment_2026_source | permits_2026_draw_res | permits_2026_draw_nr | permits_2026_draw_total | permits_2026_draw_source | draw_2026_system_type | permit_allotment_2026_source_file | permit_allotment_2026_status | projected_2026_max_cutoff_point | projected_2026_random_pool_start_point | is_2026_max_point_pool | is_2026_mixed_cutoff | is_2026_random_pool | data_cutoff_date | reason_codes | applicant_rollover_source_year | retention_rate_raw | retention_rate_smoothed | forecast_applicants_at_level | forecast_applicants_above | rolled_forward_total_applicants | status | trend | bear_draw_subtype | permit_availability_type | harvest_objective_unit_count | harvest_objective_take_quota | harvest_objective_remaining_quota | harvest_objective_status | unit_status | availability_reason | probability_model | rule_status | p_availability | availability_pct | closure_risk | sellout_or_closure_risk | p_bonus_pool_pct | p_random_pool_pct | bear_bonus_valid | bear_bonus_note | availability_status | data_quality_flags | guaranteed_at_2025 | guaranteed_at_2026 | random_draw_odds_2026 | gap | delta_gap | permit_type | permit_status | season_start | season_end | season_status | unit_name | closure_reason | bonus_special_valid | bonus_special_note | preference_model_valid | preference_model_note | private_lands_allocation_valid | private_lands_allocation_note | permits_allotted | permits_remaining | permits_sold | permits_sold_or_used | allocation_status | sellout_risk | sale_date | unit | private_land_only_flag | turkey_bonus_valid | turkey_bonus_note
prediction,ml_draw_predictions_v1,processed_data/ml_draw_predictions_v1.csv,true,26387,26387,26733923,model_version | rule_version | year | forecast_year | hunt_code | hunt_name | species | sex_type | hunt_type | hunt_class | residency | points | draw_pool | public_permits_2025 | public_permits_2026 | max_point_permits_2025 | max_point_permits_2026 | random_permits_2025 | random_permits_2026 | guaranteed_at_2025 | guaranteed_at_2026 | applicants_above | applicants_at_level | p_draw_mean | p_max_pool_mean | p_random_mean | p_preference_draw | p_bonus_pool | p_random_pool | p_draw | p_bonus_pool_pct | p_random_pool_pct | p_draw_pct | random_draw_odds_2026 | gap | delta_gap | status | point_pool_zone | trend | draw_outlook | quota_source_status | quota_source_year | quota_source_file | quota_2026_total | quota_2026_max_pool | quota_2026_random_pool | permit_allotment_2026_res | permit_allotment_2026_nr | permit_allotment_2026_total | permit_allotment_2026_source | permits_2026_draw_res | permits_2026_draw_nr | permits_2026_draw_total | permits_2026_draw_source | draw_2026_system_type | permit_allotment_2026_source_file | permit_allotment_2026_status | projected_2026_max_cutoff_point | projected_2026_random_pool_start_point | is_2026_max_point_pool | is_2026_mixed_cutoff | is_2026_random_pool | data_cutoff_date | reason_codes | applicant_rollover_source_year | retention_rate_raw | retention_rate_smoothed | forecast_applicants_at_level | forecast_applicants_above | rolled_forward_total_applicants | source_years_used | source_year_count | latest_source_year | earliest_source_year | source_dataset | model_strategy | preference_model_valid | preference_model_note | bonus_special_valid | bonus_special_note | turkey_bonus_valid | turkey_bonus_note | bear_bonus_valid | bear_bonus_note | sportsman_valid | sportsman_model_note | weapon | bear_draw_subtype | permit_availability_type | permit_type | permit_status | availability_status | availability_reason | probability_model | harvest_objective_unit_count | harvest_objective_take_quota | harvest_objective_remaining_quota | harvest_objective_status | p_availability | availability_pct | closure_risk | sellout_risk | sellout_or_closure_risk | sportsman_species | sportsman_source_year | sportsman_permit_count | sportsman_applicants | sportsman_odds_text | sportsman_odds_denominator | sportsman_source_file | sportsman_residency_scope | p_sportsman_draw | private_lands_allocation_valid | private_lands_allocation_note | permits_allotted | permits_remaining | permits_sold | permits_sold_or_used | allocation_status | sale_date | unit | season_dates | private_land_only_flag | season_start | season_end | season_status | unit_name | unit_status | closure_reason | rule_status | data_quality_flags | draw_system_type | algorithm_status | target_scope | modeled_by_engine | reason
point_ladder,point_ladder_view,processed_data/point_ladder_view.csv,true,91712,91712,132456166,hunt_code | residency | points | public_permits_2025 | public_permits_2026 | public_permits_2026_source | max_point_permits_2025 | max_point_permits_2026 | random_permits_2025 | random_permits_2026 | guaranteed_at_2025 | guaranteed_at_2026 | permit_delta_2025_to_2026 | projected_applicants_2026_source | guaranteed_delta_2025_to_2026 | applicants_above | applicants_at_level | random_draw_odds_2026 | gap | delta_gap | status | trend | draw_outlook | permits_2026_res | permits_2026_nr | permits_2026_total | permits_2026_source | permits_2026_draw_res | permits_2026_draw_nr | permits_2026_draw_total | permits_2026_draw_source | draw_2026_system_type | permit_status | permit_allocation_type | permit_source_authority | permit_note | permit_overlay_source | data_status | permits_2026_conservation | permits_2026_expo | permits_2026_sportsman | special_permit_area_id | special_permit_category | special_permit_note | special_permit_overlay_source | permits_2025_draw_res | permits_2025_draw_nr | permits_2025_draw_total | draw_2025_bg_pdf_page | draw_2025_bg_report_page | draw_2025_type | permits_2025_draw_source | permits_2025_res | permits_2025_nr | permits_2025_total | permits_2025_source | boundary_id | draw_pool | permit_source | quota_source | truth_source_file | truth_source_status | data_quality_grade | reason_codes | hunt_category | draw_model_class | probability_model | availability_status | new_this_year | point | applicants | bonus_permits | regular_permits | total_permits | success_ratio | dwr_result_display | max_point_pool_boundary | random_pool_start_point | point_pool_zone | historical_result_pool | display_2025_draw_results | display_2026_max_point_pool | display_2026_random_draw | random_draw_model_source | p_max_pool_mean | p_random_mean | p_draw_mean | forecast_applicants_at_level | forecast_applicants_above | quota_source_status | data_cutoff_date | quota_source_year | quota_source_file | quota_2026_total | quota_2026_max_pool | quota_2026_random_pool | projected_2026_max_cutoff_point | projected_2026_random_pool_start_point | is_2026_max_point_pool | is_2026_mixed_cutoff | is_2026_random_pool | permit_allotment_2026_res | permit_allotment_2026_nr | permit_allotment_2026_total | permit_allotment_2026_source | permit_allotment_2026_source_file | permit_allotment_2026_status | prediction_year | source_year | species | hunt_name | hunt_class | draw_system_type | algorithm_status | prior_year_applicants | prior_year_total_permits | prior_year_bonus_permits | prior_year_regular_permits | prior_year_success_count | prior_year_success_rate | prior_year_draw_odds_pct | prior_year_pool_zone | rolled_applicants | projected_applicants | projected_nonwinners_from_prior_year | projected_new_or_returning_applicants | rollover_source_year | retention_rate_used | new_entrant_estimate | applicant_forecast_method | expected_cutoff_points | p_prior_year_baseline | p_quota_adjusted | p_rollover_adjusted | p_harvest_adjusted | p_preference_mean | p_sportsman_draw | p_draw_p10 | p_draw_p50 | p_draw_p90 | display_odds_pct | display_odds_text | harvest_quality_index | demand_pressure_signal | demand_pressure_category | point_creep_quality_adjustment | harvest_feature_match_method | harvest_feature_source_years | harvest_feature_reason_codes | prior_year_behavior_weight | quota_change_weight | applicant_rollover_weight | harvest_quality_demand_weight | model_version | rule_version
coverage,draw_system_coverage_report,processed_data/draw_system_coverage_report.csv,true,203260,203260,78136052,hunt_code | hunt_name | species | hunt_type | residency | year | draw_system_type | algorithm_status | target_scope | modeled_by_engine | reason | source_file | source_years_used | source_dataset | draw_pool | hunt_class | sex_type | weapon | bear_draw_subtype | p_draw | p_draw_pct | p_bonus_pool | p_random_pool | p_availability | availability_pct | availability_status | availability_reason | permit_availability_type | probability_model | reason_codes | rule_status | harvest_objective_status | data_quality_flags | unit_name | unit_status | draw_outlook
coverage,predictive_coverage_report,processed_data/predictive_coverage_report.csv,true,1671,1671,321797,hunt_code | in_forecast | in_backtest | in_current_database | forecast_eligible_2026 | exclusion_reason | hunt_type | species | hunt_name | permits_2026_res | permits_2026_nr | permits_2026_total | permit_allotment_2026_res | permit_allotment_2026_nr | permit_allotment_2026_total | permit_allotment_2026_source | permit_allotment_2026_source_file | permit_allotment_2026_status
harvest,harvest_master,processed_data/harvest_master.csv,true,1764,1764,189456,hunt_code | species | hunt_name | hunt_type | weapon | sex_type | permits_total | hunters | harvest | percent_success | avg_days | satisfaction | year | prediction_year | source_file
harvest,harvest_quality_features_all_years_by_hunt_code,processed_data/harvest_quality_features_all_years_by_hunt_code.csv,true,5151,5151,1926517,reported_hunt_year | model_target_year | hunt_code | species | sex_type | hunt_name | hunt_type | weapon | permits | hunters_afield | harvest_total | harvest_male | harvest_female | harvest_young | harvest_unknown | percent_success | average_days | hunter_satisfaction | average_age | male_harvest | female_harvest | harvest_objective | source_file | source_page | source_container | source_member | source_kind | source_priority | source_status | parse_status | do_not_use_for_permit_quota | do_not_use_directly_for_p_draw | trend_feature_eligible | data_quality_flags | recommended_use
harvest,harvest_quality_features_by_hunt_code_2025_for_2026,pipeline/RAW/hunt_unit_database/2026/csv/harvest_quality_features_by_hunt_code_2025_for_2026.csv,true,1120,1120,313722,reported_hunt_year | model_target_year | source_status | source_file | hunt_code | species | sex_type | hunt_name | hunt_type | weapon | permits | hunters_afield | harvest | success_rate_pct | average_days_hunted | hunter_satisfaction | harvest_permit_rate | hunter_success_rate | success_norm | satisfaction_norm | effort_inverse_signal | quality_signal_mean | do_not_use_for_permit_quota | do_not_use_directly_for_p_draw | trend_feature_eligible | reason_codes
