report_cycle,reported_hunt_year,season_year,model_target_year,species,source_family,season,region,area,row_type,n,hunters_afield,male_harvest,female_harvest,unknown_harvest,total_harvest,mean_days_afield,percent_success,permits_sold,hunt_code,hunt_name,source_file,source_page,trend_feature_eligible,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,source_status,source_url_or_citation,source_data_level,applicant_pool_use,year,total_hunters,total_permits,mean_public_days_afield,mean_private_days_afield,turkeys_per_hunter_day,county
2024-25,2024,2024,2026,Wild Turkey,fall_management,Fall management,Northern,Box Elder,area,168,300,66,75,0,141,3.1,47.0,,,Box Elder,2024-25 turkey.pdf,3,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,,,,
2024-25,2024,2024,2026,Wild Turkey,fall_management,Fall management,Northern,Cache,area,342,612,107,161,2,270,5.2,44.2,,,Cache,2024-25 turkey.pdf,3,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,,,,
2024-25,2024,2024,2026,Wild Turkey,fall_management,Fall management,Northern,East Canyon,area,93,166,41,66,0,107,2.5,64.5,,,East Canyon,2024-25 turkey.pdf,3,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,,,,
2024-25,2024,2024,2026,Wild Turkey,fall_management,Fall management,Northern,Mantua,area,31,55,9,7,0,16,2.8,29.0,,,Mantua,2024-25 turkey.pdf,3,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,,,,
2024-25,2024,2024,2026,Wild Turkey,fall_management,Fall management,Northern,Ogden Valley,area,234,418,72,139,4,215,4.0,51.3,,,Ogden Valley,2024-25 turkey.pdf,3,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,,,,
2024-25,2024,2024,2026,Wild Turkey,fall_management,Fall management,Northern,Unknown,area,47,84,18,25,2,45,7.4,53.2,,,Unknown,2024-25 turkey.pdf,3,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,,,,
2024-25,2024,2024,2026,Wild Turkey,fall_management,Fall management,Northern,Northern Region total,regional_total,879,1193,313,473,8,794,5.8,66.6,,,Northern Region total,2024-25 turkey.pdf,3,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,,,,
2024-25,2024,2024,2026,Wild Turkey,fall_management,Fall management,Central,Juab,area,54,88,23,34,2,58,5.4,66.7,,,Juab,2024-25 turkey.pdf,3,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,,,,
2024-25,2024,2024,2026,Wild Turkey,fall_management,Fall management,Central,Salt Lake,area,5,8,0,0,0,0,2.0,0.0,,,Salt Lake,2024-25 turkey.pdf,3,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,,,,
2024-25,2024,2024,2026,Wild Turkey,fall_management,Fall management,Central,Sanpete,area,112,182,60,65,0,125,5.6,68.8,,,Sanpete,2024-25 turkey.pdf,3,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,,,,
