source_file,source_sha256,folder_year,publish_year,inferred_year,reported_hunt_year_inferred,model_target_year,year_inference_method,year_confidence,source_class,report_type,quality_engine_use,draw_engine_use,extraction_priority,extraction_strategy,confidence,reason
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/0AD0E19F__escalante_bighorn_2014.pdf,fe37cd4abc97dab69cad2630419b0945d2a35faa92d9bead50c45a8a9958138f,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/0B284939__baretop_bighorn_2014.pdf,99dc68ae7df3e39434ee0e66efc0945150fc643ff7238412ea8b0223205b477a,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/20175C2A__dirtydevil_bighorn_2014.pdf,fe6d6614234c7d9448e07835d6b5ac04f01ff5a1e796089124c13a4265116ca1,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/3A23A26F__2014_gs_deer_hr.pdf,550a26349948d5ca84d4535e5e51cbefda58d0151c7ec3eeb25f734c76710b24,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/586D15F7__sheepcreek_bighorn_2014.pdf,e04a51266ff67f15c8f79ae42ffa9c459166cceb57303a9cdf564450658ee1dd,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/5C01A46D__westdaggett_redcanyon_bighorn_2014.pdf,673b4c39fa2405cfacaae1e2ba0d45d563340dd5a84e7c75d72a8bc32d9ade5e,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/5DAFBD36__southsanjuan_bighorn_2014.pdf,85e4201c08efbf34f088cc1c8aeee1749926e5abf903d2055a8ccc808d4ec3b8,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/5E74FC14__avintaquin_bighorn_2014.pdf,c5d302c47bdcbf02fded073ab310e4a09d0819378c74538f21ff9bdc6e780960,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/62B883FF__2014_all_species_hr.pdf,a757f9bf26a08a9ea80aa6ec30b9dc6bda72d9dac70bb542f094756253fdd94d,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/6A5A0322__northsanjuan_bighorn_2014.pdf,76d9b66c545bb367fce25e20c8f4691009aae137fabc4386df74684d3276198a,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/6AE90682__sanjuanriver_bighorn_2014.pdf,f6563609c57f3a9d84e9981c18359e66e24098cfc643508e46765ac83b4a7dd2,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/737D4E27__pinevalley_bighorn_2014.pdf,5e13238103e7b9fadbeae2e6b47a8f7097e4cf5780cbdca139ac6345fc1d19a8,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/94140BEF__pilotmtn_bighorn_2014.pdf,8298d4f25aefbd5bde820b49f761e5f0638d663ad70c77b1d98d5367f6472415,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/9DBED702__2014_antlerless_hr.pdf,8c00c4684f3dac7f78926e003bae3b3f25d9896eeac9576bea545ded69cbd033,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/A5C79130__lasalpotash_bighorn_2014.pdf,8941b0238b5e73e9b34ec40a534de01badedba115cabaee4d1175788e63fe356,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/A72F6F1C__lockhart_bighorn_2014.pdf,2065d8b282baf06f6b2b16771e5e2180c37db92def960dbdc32d3585e5af9f7c,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/B1FCCFD7__henrys_littlerockies_bighorn_2014.pdf,51eef80a8fce5141e9f8df4e9f6a6f2adc249b8d3a76d5bf9aae2e09e28e8d9d,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/B41D81A1__newfoundland_bighorn_2014.pdf,06a6902afcb9bebd6fb8dd236cf81cb8b1f1c74e932f8c479acb194efeb178ad,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/D04E792F__2014_bhs_data.pdf,13ecda9ea9c1fae1077e5feb33611ea1e799d611623734eb5421f19813c05408,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/DB693FA5__goslinmtn_bighorn_2014.pdf,9d3e0603419e4a02aabe7a13522ebd9454e4da849147b0d4b9b42146aee1f618,2014,2014,2014,2014,2015,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2015/pdf/harvest_report/1592232F__NorthSlopeBaretop_bighorn_2015.pdf,534d970dcfed9d27c2e714f858262233a769456d19f5ae1f998524b47da6b1ca,2015,2015,2015,2015,2016,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2015/pdf/harvest_report/20569E3D__SouthSanRafael_bighorn_2015.pdf,4dd7628d43dd132c083ea98cfcf506dc9b85357c5c715666a21afd5c8cc5567c,2015,2015,2015,2015,2016,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2015/pdf/harvest_report/23C2211D__2015_antlerless_hr.pdf,7d4cfcbf81279a08924876cec1c1e93e464e7e8e5414c38d9e36715e11bf92b2,2015,2015,2015,2015,2016,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2015/pdf/harvest_report/251794EF__2015_gs_deer_hr.pdf,4b1cab3f14b7747ff03dc1b6d03f86e9d5e545be302d61f695e1e38d7c0917a5,2015,2015,2015,2015,2016,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2015/pdf/harvest_report/2CB58436__2015_BHS_Data.pdf,f5f38faa84272a50a771f79fc30ea73b3a1f821f7019883153a214a541b2c8fe,2015,2015,2015,2015,2016,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2015/pdf/harvest_report/4F8E24C8__OquirrhStansburyBighorn_2015.pdf,c0a6cb2396e0d4f067a55c24178472af9fe4494850cea15ea497fedff79f1c5d,2015,2015,2015,2015,2016,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2015/pdf/harvest_report/60DAB81C__NorthSlopeSheepCreek_bighorn_2015.pdf,4944fc42c5314d25a0a811f2995f190e5dedd6a28f166b8cf1f86ff70413db80,2015,2015,2015,2015,2016,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2015/pdf/harvest_report/6744AEA9__NorthSanRafael_bighorn_2015.pdf,3728d62e336447f947a89766284864ef3d34fe2663702291657d9210db29547b,2015,2015,2015,2015,2016,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2015/pdf/harvest_report/8CD72257__WasatchMtnsWest_bighorn_2015.pdf,66168b83ad622d9b49f54d350cf00ee275e3996c5a9b8d2b3f0ebd95f79a6113,2015,2015,2015,2015,2016,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2015/pdf/harvest_report/94CBE76A__CentralMtnsNebo_bighorn_2015.pdf,69c05077a0d7fe8b5c20e9c2f480a84df52af64c985bedc6fc4b1a6d6cad282a,2015,2015,2015,2015,2016,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2015/pdf/harvest_report/9D3EBB50__Zion_bighorn_2015.pdf,33aa1c459e1847cbd7025706289158ffad7eddd063a80c068f829cd7df1b6c0f,2015,2015,2015,2015,2016,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2015/pdf/harvest_report/9FB2707A__NorthSlopeGoslinMtn_bighorn_2015.pdf,be78812aa1a8053c90ab09aa2eb34443a5d7c9183037ed9df93ef148546ec3a1,2015,2015,2015,2015,2016,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2015/pdf/harvest_report/D8032F87__NorthSlopeRedCanyon_bighorn_2015.pdf,b74b4e71235fdb8a160843f193397bef3d791cf937e320bfd87d94d211e20697,2015,2015,2015,2015,2016,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2015/pdf/harvest_report/E8CF3BEA__2015_le_oial_hr.pdf,e30dc2376881e63fe505b077cc71767cc95dcea8ed9d040dca1093d5bc02b2db,2015,2015,2015,2015,2016,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2015/pdf/harvest_report/EA6B4005__KaiparowitsEastWest_bighorn_2015.pdf,83d4e38578567754e4f25393b7b65a53b0d2c241a4371c62b84f7dbb4fb0c732,2015,2015,2015,2015,2016,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2016/pdf/harvest_report/11D93CAD__2016_n_slope_w_daggett_sheep_creek_bh.pdf,5edebfc27cb77deb35c5f9fbc58bfa361b530254e238c7bdc2cf3e5a6d1cf764,2016,2016,2016,2016,2017,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2016/pdf/harvest_report/1414A3B6__2016_san_rafael_dirty_devil_bg.pdf,e4aaf6be59c868a3849dc3924af81927f87917f67ee45d73d175f67d9a3a0cab,2016,2016,2016,2016,2017,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2016/pdf/harvest_report/25AAAC37__2016_box_elder_newfoundlands_bh.pdf,f825a76443832d4cc7e08a2e079221b00a2a51e032cdef8625206ece4ec5be90,2016,2016,2016,2016,2017,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2016/pdf/harvest_report/2B13F427__2016_pine_valley_bighorn.pdf,f4b30ebdd8bce123a1bfb53235fa9ec9b3543219180c47c0b91e4ffe6b38d28e,2016,2016,2016,2016,2017,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2016/pdf/harvest_report/4B2B58E6__Box_Elder_Newfoundland_bighorn_2016.pdf,cc5182bccbdd48fd9881c966185030d99da592672a2cbfdcc238979f88ab3b2d,2016,2016,2016,2016,2017,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2016/pdf/harvest_report/4B871A48__2016_le_oial_hr.pdf,4e331e4b19ef81c81e963efe2a2ad7f9829f6cd25522760566d7f7dfeb421d2b,2016,2016,2016,2016,2017,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2016/pdf/harvest_report/6B279CB4__2016_henrys_little_rockies_rattlesnake_bh.pdf,5fed1a284e53294a4eecc5eb430d7dab416c9fb8513efd59ce12d1009ef0f6a7,2016,2016,2016,2016,2017,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2016/pdf/harvest_report/82A75C66__2016_gs_deer_hr.pdf,ddae23b88467089e6a6cf2420121e25e3fee7cf87fc715892c6dbdc9b25fc3fd,2016,2016,2016,2016,2017,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2016/pdf/harvest_report/942386DD__2016_n_slope_three_corners_bh.pdf,ba3f80a5d1e3df0a2e34ed53c4e548fda65edef3527d97f914a2cf65210ee0f8,2016,2016,2016,2016,2017,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2016/pdf/harvest_report/B21D6549__2016_bhs_harvest_data.pdf,29d3795579b52d99c2bbe66e4ad7a6e67579ee2943b3bce9f6ab404e7bc09442,2016,2016,2016,2016,2017,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2016/pdf/harvest_report/B564C9EC__2016_book_cliffs_rattlesnake_bh.pdf,e18fe57f6f0613421cb759520b930190d53c7bcc3ee47d625f2209a5d48a48a8,2016,2016,2016,2016,2017,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2016/pdf/harvest_report/CA218DB8__2016_n_slope_w_daggett_red_canyon_bh.pdf,8934a54c00248a0b1abb7ff0e06b424c9a40982b033b6131fc0d9e14a339b1f0,2016,2016,2016,2016,2017,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2016/pdf/harvest_report/CBEBFE8C__2016_nine_mile_range_creek_bh.pdf,15350b33cc96957255aa192556481117804c77b3ee984862368172166bf8892e,2016,2016,2016,2016,2017,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2016/pdf/harvest_report/F6DB57FB__2016_antlerless_hr.pdf,faa36deab5750f1869882e54792eeb4ed92f8fc7e7d6f010974b7cc15bd188dc,2016,2016,2016,2016,2017,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2016/pdf/harvest_report/FD22B2D9__2016_n_slope_three_corners_goslin_bh.pdf,0592c6cdbeea2e39c882d7e68b83f2a9ba77ae7f24bdce3fca491d70cafc1f7b,2016,2016,2016,2016,2017,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2017/pdf/harvest_report/043488DC__2017_le_oial_hr.pdf,e0ed2da0bc76074f08730ade80e320028385d93ccc5dcff4f0b2f640f59fc215,2017,2017,2017,2017,2018,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2017/pdf/harvest_report/0FE6BFCA__2017_gs_deer_hr.pdf,2562270c88a4aa2f36777bbb3536e05be2278a39841571e6dd3c5d5c800816e4,2017,2017,2017,2017,2018,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2017/pdf/harvest_report/17E33C4D__2017-LaSalPotash_bighorn.pdf,cf42ed8ea29a02dd9f076a9b9160acdae0998d9550c955ed106f56cb44a1e71f,2017,2017,2017,2017,2018,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2017/pdf/harvest_report/50D4A2A1__2017-OakCreek_bighorn.pdf,aa978272b935bff29a36732f73a1029b54b16a94c222a9581a5a18e320d8d6fe,2017,2017,2017,2017,2018,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2017/pdf/harvest_report/6AECF376__2017-bighorn_harvest.pdf,2998b5d70e28e0fa8e80c18cc9fc3b7eb385d7d7d844be6bb50d0f0426e2beaa,2017,2017,2017,2017,2018,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2017/pdf/harvest_report/9C65D960__2017-SanJuanLockhart_bighorn.pdf,e098c3bd2bb2c3a1338cc153d99efa827b50a59d5cd24128efc7b315f751de78,2017,2017,2017,2017,2018,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2017/pdf/harvest_report/B37EDE43__2017-KaiparowitsEscalante_bighorn.pdf,d7e024bffb00af9cd5778319d887dd9e3e6547416423243ea3fb6c5c490b2235,2017,2017,2017,2017,2018,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2017/pdf/harvest_report/DA57FA0D__2017_antlerless_hr.pdf,5c044926794c607436a483261f45dbae23c4a657b26d061fe2d62395d9853839,2017,2017,2017,2017,2018,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2017/pdf/harvest_report/E0B518C9__2017-SanJuanNorth_bighorn.pdf,0c769c7db844a331829041cda1cf753f2cf60c87e60be2933917700ddcfb3b0a,2017,2017,2017,2017,2018,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2017/pdf/harvest_report/E58C632D__2017-SanJuanSouth_bighorn.pdf,fbcf7fa9ff964ca36b53fc2fac3254d7bcbb8045ced81e7d17ae347056850d17,2017,2017,2017,2017,2018,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
pipeline/RAW/hunt_unit_database/2017/pdf/harvest_report/E6D3F0AB__2017-SanJuanRiver_bighorn.pdf,6bba9a31bac267ae50955b5a328cb04274cd5ada55ec7ca5a77f259319272148,2017,2017,2017,2017,2018,FILENAME,HIGH,harvest_results,harvest_result,YES,NO,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage
