name,source_file,role,exists,row_count,size_bytes,size_mb,delivery,href,local_href,cloudflare_href,used_as_current_source
currentDatabase,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,current official/canonical 2026 hunt database,true,not_scanned,648836,0.62,pages-local,./pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,./pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,https://json.uoga.workers.dev/pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,true
currentCanonicalRaw,pipeline/RAW/hunt_unit_database/2026/csv/hunt_master_canonical_2026_built.csv,canonical current hunt source of truth,true,not_scanned,367463,0.35,pages-local,./pipeline/RAW/hunt_unit_database/2026/csv/hunt_master_canonical_2026_built.csv,./pipeline/RAW/hunt_unit_database/2026/csv/hunt_master_canonical_2026_built.csv,https://json.uoga.workers.dev/pipeline/RAW/hunt_unit_database/2026/csv/hunt_master_canonical_2026_built.csv,false
currentCanonicalProcessed,processed_data/hunt-master-canonical-2026-source-of-truth.csv,canonical current hunt source of truth,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/hunt-master-canonical-2026-source-of-truth.csv,./processed_data/hunt-master-canonical-2026-source-of-truth.csv,https://json.uoga.workers.dev/processed_data/hunt-master-canonical-2026-source-of-truth.csv,false
huntDatabaseComplete,processed_data/hunt_database_complete.csv,supporting input,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/hunt_database_complete.csv,./processed_data/hunt_database_complete.csv,https://json.uoga.workers.dev/processed_data/hunt_database_complete.csv,false
huntMasterEnriched,processed_data/hunt_master_enriched.csv,enriched hunt master,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/hunt_master_enriched.csv,./processed_data/hunt_master_enriched.csv,https://json.uoga.workers.dev/processed_data/hunt_master_enriched.csv,false
huntUnitReferenceLinked,processed_data/hunt_unit_reference_linked.csv,supporting input,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/hunt_unit_reference_linked.csv,./processed_data/hunt_unit_reference_linked.csv,https://json.uoga.workers.dev/processed_data/hunt_unit_reference_linked.csv,false
drawRealityEngine,processed_data/draw_reality_engine.csv,draw reality engine output,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/draw_reality_engine.csv,./processed_data/draw_reality_engine.csv,https://json.uoga.workers.dev/processed_data/draw_reality_engine.csv,false
drawRealityEngineV2,processed_data/draw_reality_engine_v2.csv,draw reality engine output,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/draw_reality_engine_v2.csv,./processed_data/draw_reality_engine_v2.csv,https://json.uoga.workers.dev/processed_data/draw_reality_engine_v2.csv,false
drawRealityEnginePredictive,processed_data/draw_reality_engine_predictive_v2.csv,primary prediction output,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/draw_reality_engine_predictive_v2.csv,./processed_data/draw_reality_engine_predictive_v2.csv,https://json.uoga.workers.dev/processed_data/draw_reality_engine_predictive_v2.csv,false
mlDrawPredictions,processed_data/ml_draw_predictions_v1.csv,ML prediction output,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/ml_draw_predictions_v1.csv,./processed_data/ml_draw_predictions_v1.csv,https://json.uoga.workers.dev/processed_data/ml_draw_predictions_v1.csv,false
pointLadderView,processed_data/point_ladder_view.csv,point ladder output,true,not_scanned,2837401,2.71,pages-local,./processed_data/point_ladder_view.csv,./processed_data/point_ladder_view.csv,https://json.uoga.workers.dev/processed_data/point_ladder_view.csv,false
coverageReport,processed_data/draw_system_coverage_report.csv,coverage/classification report,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/draw_system_coverage_report.csv,./processed_data/draw_system_coverage_report.csv,https://json.uoga.workers.dev/processed_data/draw_system_coverage_report.csv,false
predictiveCoverageReport,processed_data/predictive_coverage_report.csv,coverage/classification report,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/predictive_coverage_report.csv,./processed_data/predictive_coverage_report.csv,https://json.uoga.workers.dev/processed_data/predictive_coverage_report.csv,false
crosswalk,processed_data/current_to_historical_hunt_code_crosswalk_2026.csv,current-to-historical crosswalk,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/current_to_historical_hunt_code_crosswalk_2026.csv,./processed_data/current_to_historical_hunt_code_crosswalk_2026.csv,https://json.uoga.workers.dev/processed_data/current_to_historical_hunt_code_crosswalk_2026.csv,false
harvestMaster,processed_data/harvest_master.csv,harvest evidence,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/harvest_master.csv,./processed_data/harvest_master.csv,https://json.uoga.workers.dev/processed_data/harvest_master.csv,false
harvestQualityAllYears,processed_data/harvest_quality_features_all_years_by_hunt_code.csv,harvest evidence,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/harvest_quality_features_all_years_by_hunt_code.csv,./processed_data/harvest_quality_features_all_years_by_hunt_code.csv,https://json.uoga.workers.dev/processed_data/harvest_quality_features_all_years_by_hunt_code.csv,false
harvestQuality2026,pipeline/RAW/hunt_unit_database/2026/csv/harvest_quality_features_by_hunt_code_2025_for_2026.csv,harvest evidence,true,not_scanned,313722,0.3,pages-local,./pipeline/RAW/hunt_unit_database/2026/csv/harvest_quality_features_by_hunt_code_2025_for_2026.csv,./pipeline/RAW/hunt_unit_database/2026/csv/harvest_quality_features_by_hunt_code_2025_for_2026.csv,https://json.uoga.workers.dev/pipeline/RAW/hunt_unit_database/2026/csv/harvest_quality_features_by_hunt_code_2025_for_2026.csv,false
researchLibraryMaster,processed_data/research_library_master.csv,research-page source,false,0,0,0,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/research_library_master.csv,./processed_data/research_library_master.csv,https://json.uoga.workers.dev/processed_data/research_library_master.csv,false
