check_id,printed_page,match_type,expected_text,source_note,status
cover_title,1,contains,"BEAR, COUGAR FURBEARER and GUIDEBOOK 2026 BLACK BEAR",cover text,PASS
contents_key_dates,3,contains,10 Key dates,contents,PASS
contents_hunt_tables,3,contains,73 Hunt tables,contents,PASS
contents_management_units,3,contains,81 Management units,contents,PASS
contents_furbearer_dates,3,contains,83 Furbearer season dates,contents,PASS
combined_guidebook,4,contains,"Combined black bear, cougar and furbearer guidebook",what's new,PASS
digital_only,4,contains,Digital-only guidebook,what's new,PASS
new_draw_platform,4,contains,Apply for bear hunts using the NEW online draw platform,what's new,PASS
dolores_new_unit,4,contains,New bear unit,what's new,PASS
nonresident_fee_increase,5,contains,Nonresident fee increase,what's new,PASS
wma_license_requirement,5,contains,WMA license requirement,what's new,PASS
cougar_year_round_reminder,5,contains,A person may pursue or hunt cougars year-round,important reminders,PASS
bear_orientation_course,6,contains,Bear orientation course,important reminders,PASS
bear_bait_season,6,contains,"May 25-June 28, 2026",important reminders,PASS
trap_registration_numbers,7,contains,Trap registration numbers,important reminders,PASS
application_start,10,contains,"Start applying online Feb. 10, 2026 8:00 a.m. MST",key dates,PASS
application_deadline,10,contains,"Application deadline Feb. 24, 2026 11:00 p.m. MST",key dates,PASS
drawing_results,10,contains,"Drawing results available March 5, 2026",key dates,PASS
remaining_permits_sale,10,contains,"Remaining permits go on sale, if available March 10, 2026 8:00 a.m. MDT",key dates,PASS
restricted_units,10,contains,Book Cliffs La Sal San Juan,restricted pursuit units,PASS
marten_2026_tags,11,contains,"Sept. 14, 2026-March 5, 2027",permit dates,PASS
bobcat_2026_permits,11,contains,"Oct. 1-31, 2026",permit dates,PASS
bear_pursuit_fee,12,contains,Bear pursuit permit $45 $342,fees,PASS
bear_harvest_objective_fee,12,contains,Bear harvest-objective permit $93 $600,fees,PASS
bear_multiseason_fee,12,contains,Bear multiseason limited-entry permit* $183* $889*,fees,PASS
bear_application_fee,12,contains,Bear application fee* $10 $21,fees,PASS
bobcat_fee,12,contains,Bobcat permit $17 each,fees,PASS
bear_minimum_age,14,contains,"at least 12 years old by Dec. 31, 2026",age requirements,PASS
trial_program,17,contains,Utah's Trial Hunting Program,basic requirements,PASS
furbearer_license_requirement,17,contains,Furbearer license requirement,basic requirements,PASS
one_bear_permit,20,contains,You may not apply for or obtain more than one permit to harvest a black bear in 2026,permit rules,PASS
bonus_points,22,contains,Why bonus points matter,bonus points,PASS
waiting_period,24,contains,there is a two-year wait-ing period,waiting period,PASS
utahdraws_phone,25,contains,"utahdraws.com, or by calling the new hunt-drawing helpline at 855-883-7297",application instructions,PASS
cougar_no_extra_permit,31,contains,A separate permit is not required to hunt cougars in Utah,cougar section,PASS
bobcat_six_permits,33,contains,no more than six bobcat permits each season,furbearer permits,PASS
firearm_centerfire,38,contains,Your rifle must fire centerfire cartridges and expanding bullets,field regulations,PASS
no_drones,43,contains,No drones allowed,prohibited methods,PASS
bear_hunting_hours,48,contains,30 minutes before official sunrise until 30 minutes after official sunset,bear rules,PASS
bait_chocolate,54,contains,The use of chocolate or cocoa powder products as bait is prohibited,bait rules,PASS
bear_48_hour_report,55,contains,"If you harvest a bear, you must contact the DWR within 48 hours",harvest reporting,PASS
cougar_48_hour_report,58,contains,"If you harvest a cougar, you must contact the DWR within 48 hours",cougar reporting,PASS
trap_check_period,63,contains,at least once every 48 hours,trap checks,PASS
beaver_closure_johnson,65,contains,Johnson on this road to USFS Rd 072; north Creek and Wildcat Creek,closures,PASS
predator_control,72,contains,Utah Predator Control Program,predator control,PASS
spring_br7021,73,contains,Dolores Triangle (new) BR7021 2 0 March 28-May 25,bear hunt table,PASS
summer_br7126,74,contains,Dolores Triangle (new) BR7126 6 0 May 25-June 28,bear hunt table,PASS
fall_br7238,75,contains,Dolores Triangle (new) BR7238 2 0,bear hunt table,PASS
spot_stalk_br7225,77,contains,"Book Cliffs, Little Creek Roadless BR7225 5 0 Sept. 1-Nov. 8",bear hunt table,PASS
restricted_br1015,78,contains,Book Cliffs BR1015 See below 2 March 28-May 25,restricted pursuit table,PASS
harvest_objective_beaver,79,contains,Beaver 5 Sept. 1-Oct. 25 No bait/no dogs,harvest objective table,PASS
cougar_management_22b,81,contains,"Beaver, East 22B",cougar management units,PASS
furbearer_bobcat_dates,83,contains,"Bobcat Nov. 15, 2025-March 1, 2026 Nov. 18, 2026-March 1, 2027",furbearer dates,PASS
definition_bear,84,contains,Bear means Ursus americanus,definitions,PASS
definition_resident,87,contains,Resident means a person who has a domicile,definitions,PASS
