source_file,pdf_page_number,printed_page,line_number_on_pdf_page,line_text
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,1,,1,REVISED MAY 2023
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,1,2
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,2,3202
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,3,koobediuG
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,4,noitacilppA
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,5,emaG
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,6,giB
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,7,hatU
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,8,vog.hatu.efildliw
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,9,CONTACT US CONTENTS
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,10,Turn in a poacher 4 Keep your license on your
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,11,Phone: 1-800-662-3337 phone or tablet
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,12,Text: 847411 5 Antlerless big game hunting
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,13,Online: wildlife.utah.gov/utip 7 2023 season dates
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,14,9 2024 sportsman permits
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,15,Division offices
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,16,10 Permit sales dates
