source_file,pdf_page_number,printed_page,line_number_on_pdf_page,line_text
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,1,2
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,2,5202
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,3,SNOITALUGER
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,4,DLEIF
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,5,EMAG
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,6,GIB
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,7,HATU
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,8,vog.hatu.efildliw
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,9,CONTACT US CONTENTS
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,10,Turn in a poacher 7 General-season dates
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,11,Phone: 800-662-3337 9 License fees
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,12,Text: 847411
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,13,9 Permit and application fees
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,14,Online: wildlife.utah.gov/utip
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,15,10 Discounts for disabled veterans
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,16,Division offices
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,17,11 Basic requirements
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,18,"Offices are open 8 a.m.-5 p.m.,"
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,19,11 Utah's Trial Hunting Program
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,20,Monday through Friday.
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,21,12 DWR mobile device
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,22,Salt Lake City
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,23,14 Apply for an antlerless permit
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,24,1594 W North Temple
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,25,Box 146301 14 Definition of youth
