hunt_code,hunt_name,species,hunt_type,weapon,season,permits_2026_total,printed_in_2026_guidebook,printed_in_2025_guidebook,database_present,hunt_master_present,point_ladder_present,draw_reality_present,predictive_v2_present,code_resolution_class,guidebook_basis,current_database_reconciliation_status
TK0001,Turkey - Statewide Permit,Turkey,Statewide,Any Legal Weapon,"Apr 1 - May 31, 2026",,false,false,true,true,true,true,true,CURRENT_DATABASE_PREDICTIVE_REFERENCE_NOT_PRINTED_IN_GUIDEBOOK_CODE_LIST,Current database/hunt-master special statewide/sportsman turkey permit reference; not printed as a turkey guidebook hunt-table code.,PASS
TK1000,Statewide,Turkey,Spring General Season,Any Legal Weapon,"May 4 - 31, 2026 | YOUTH ONLY: May 1 - 3, 2026",,false,false,true,true,true,true,true,CURRENT_DATABASE_PREDICTIVE_REFERENCE_NOT_PRINTED_IN_GUIDEBOOK_CODE_LIST,"Spring general-season hunt is described as statewide in both 2024-25 and 2025-26 guidebooks, but the guidebooks do not print its database code.",PASS
TK1001,Northern Region - Private land only,Turkey,Fall Management,Any Legal Weapon,"Oct 1, 2025 - Feb 28, 2026",2060,false,false,true,true,true,true,true,CURRENT_DATABASE_PREDICTIVE_REFERENCE_NOT_PRINTED_IN_GUIDEBOOK_CODE_LIST,"Fall management harvest Northern Region/private-land reference is described in guidebook fall-management text, but no fall-management TK code is printed.",PASS
TK1003,Central Area,Turkey,Limited Entry,Any Legal Weapon,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",600,true,true,true,true,true,true,true,GUIDEBOOK_PRINTED_CURRENT_HUNT_CODE,Printed in the current 2025-26 turkey guidebook and resolved to DATABASE.,PASS
TK1004,Northeastern Area,Turkey,Limited Entry,Any Legal Weapon,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",347,true,true,true,true,true,true,true,GUIDEBOOK_PRINTED_CURRENT_HUNT_CODE,Printed in the current 2025-26 turkey guidebook and resolved to DATABASE.,PASS
TK1005,Northern Area,Turkey,Limited Entry,Any Legal Weapon,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",500,true,true,true,true,true,true,true,GUIDEBOOK_PRINTED_CURRENT_HUNT_CODE,Printed in the current 2025-26 turkey guidebook and resolved to DATABASE.,PASS
TK1006,Southeastern Area,Turkey,Limited Entry,Any Legal Weapon,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",250,true,true,true,true,true,true,true,GUIDEBOOK_PRINTED_CURRENT_HUNT_CODE,Printed in the current 2025-26 turkey guidebook and resolved to DATABASE.,PASS
TK1007,Southern Area,Turkey,Limited Entry,Any Legal Weapon,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",542,true,true,true,true,true,true,true,GUIDEBOOK_PRINTED_CURRENT_HUNT_CODE,Printed in the current 2025-26 turkey guidebook and resolved to DATABASE.,PASS
TK1012,Central Area,Turkey,Conservation,Any Legal Weapon,"Limited Entry: Apr 11-30, 2026 | General Season: May 4-31, 2026 | YOUTH ONLY: May 1-3, 2026",,false,false,true,true,true,true,true,CURRENT_DATABASE_PREDICTIVE_REFERENCE_NOT_PRINTED_IN_GUIDEBOOK_CODE_LIST,"Conservation permits are described as spring permit types in the guidebooks; conservation area codes are database/reference rows, not printed guidebook hunt-table codes.",PASS
TK1013,Northeastern Area,Turkey,Conservation,Any Legal Weapon,"Limited Entry: Apr 11-30, 2026 | General Season: May 4-31, 2026 | YOUTH ONLY: May 1-3, 2026",,false,false,true,true,true,true,true,CURRENT_DATABASE_PREDICTIVE_REFERENCE_NOT_PRINTED_IN_GUIDEBOOK_CODE_LIST,"Conservation permits are described as spring permit types in the guidebooks; conservation area codes are database/reference rows, not printed guidebook hunt-table codes.",PASS
TK1014,Northern Area,Turkey,Conservation,Any Legal Weapon,"Limited Entry: Apr 11-30, 2026 | General Season: May 4-31, 2026 | YOUTH ONLY: May 1-3, 2026",,false,false,true,true,true,true,true,CURRENT_DATABASE_PREDICTIVE_REFERENCE_NOT_PRINTED_IN_GUIDEBOOK_CODE_LIST,"Conservation permits are described as spring permit types in the guidebooks; conservation area codes are database/reference rows, not printed guidebook hunt-table codes.",PASS
TK1015,Southeastern Area,Turkey,Conservation,Any Legal Weapon,"Limited Entry: Apr 11-30, 2026 | General Season: May 4-31, 2026 | YOUTH ONLY: May 1-3, 2026",,false,false,true,true,true,true,true,CURRENT_DATABASE_PREDICTIVE_REFERENCE_NOT_PRINTED_IN_GUIDEBOOK_CODE_LIST,"Conservation permits are described as spring permit types in the guidebooks; conservation area codes are database/reference rows, not printed guidebook hunt-table codes.",PASS
TK1016,Southern Area,Turkey,Conservation,Any Legal Weapon,"Limited Entry: Apr 11-30, 2026 | General Season: May 4-31, 2026 | YOUTH ONLY: May 1-3, 2026",,false,false,true,true,true,true,true,CURRENT_DATABASE_PREDICTIVE_REFERENCE_NOT_PRINTED_IN_GUIDEBOOK_CODE_LIST,"Conservation permits are described as spring permit types in the guidebooks; conservation area codes are database/reference rows, not printed guidebook hunt-table codes.",PASS
TK1018,Pahvant Ensign CWMU,Turkey,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,6,true,true,true,true,true,true,true,GUIDEBOOK_PRINTED_CURRENT_HUNT_CODE,Printed in the current 2025-26 turkey guidebook and resolved to DATABASE.,PASS
TK1019,Southeastern Region - Select areas only,Turkey,Fall Management,Any Legal Weapon,"Oct 1, 2025 - Feb 28, 2026",66,false,false,true,true,true,true,true,CURRENT_DATABASE_PREDICTIVE_REFERENCE_NOT_PRINTED_IN_GUIDEBOOK_CODE_LIST,"Fall management harvest Southeastern Region/select-areas reference is described in guidebook fall-management text, but no fall-management TK code is printed.",PASS
TK1020,Central Region - Private land only,Turkey,Fall Management,Any Legal Weapon,"Oct 1, 2025 - Feb 28, 2026",800,false,false,true,true,true,true,true,CURRENT_DATABASE_PREDICTIVE_REFERENCE_NOT_PRINTED_IN_GUIDEBOOK_CODE_LIST,"Fall management harvest Central Region/private-land reference is described in guidebook fall-management text, but no fall-management TK code is printed.",PASS
