source_file,check_id,guidebook_page,match_type,expected_text,status,matched_pdf_page_number,matched_printed_page,matched_line_number_on_pdf_page,matched_line_text,source_note
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,contents_season_dates,2,contains,7 2023 season dates,PASS,2,2,10,Turn in a poacher 7 2023 season dates,user pasted contents
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,contents_definitions,2,contains,68 Definitions,PASS,2,2,68,68 Definitions,user pasted contents
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,utip_phone,2,contains,Phone: 800-662-3337,PASS,2,2,11,Phone: 800-662-3337 8 License fees,user pasted contact block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,utip_text,2,contains,Text: 847411,PASS,2,2,12,Text: 847411 9 Permit fees,user pasted contact block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,title_2023_field_regs,3,contains,This guidebook-along with the 2023,PASS,3,3,10,This guidebook-along with the 2023,user pasted know-the-laws block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,trail_camera_2023_change,3,contains,Changes to trail camera regulations,PASS,3,3,11,Changes to trail camera regulations: The,user pasted what's-new block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,night_vision_devices,3,contains,Night-vision devices,PASS,3,3,25,"Night-vision devices: Additionally, between",user pasted what's-new block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,elk_any_legal_weapon_split,3,contains,general-season elk any legal weapon any,PASS,3,3,36,Changes to elk general-season any legal,user pasted elk change
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,hamss_hunts,4,contains,HAMSS hunts,PASS,4,4,9,HAMSS hunts: The Utah Wildlife Board harvest online or over the phone. Failure to,user pasted HAMSS block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,new_antlerless_elk_rule,4,contains,New antlerless elk permit rules,PASS,4,4,11,as an allowable weapon for handgun-archery- from next year's antlerless hunt drawing. See,user pasted antlerless rule
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,general_archery_deer_date,7,contains,General archery deer Aug. 19-Sept. 15,PASS,7,7,11,General-season dates,user pasted season dates
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,early_any_bull_elk_date,7,contains,Early general any legal Oct. 7-13,PASS,7,7,19,Early general any legal Oct. 11-15 You do not need to apply for an additional,user pasted season dates
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,extended_archery_deer_dates,7,contains,Extended archery deer Sept. 16-,PASS,7,7,15,General archery deer Aug. 19-Sept. 15 Extended archery,user pasted extended archery dates
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,sportsman_deer_elk_weapon_date,8,contains,"Deer and elk on any Sept. 1, 2023-",PASS,8,8,11,Extended archery deer Sept. 16- Turkey on any open unit April 1-May,user pasted sportsman dates
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,resident_hunting_license_fee,8,contains,365-day hunting license,PASS,8,8,35,and statewide 365-day hunting license $11,user pasted license fees
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,general_deer_permit_fee,9,contains,General deer $40 $398,PASS,9,9,18,General deer $40 $398,user pasted permit fees
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,disabled_veterans,10,contains,Discounted licenses for,PASS,10,10,9,Discounted licenses for Apply for your discounted license at wild-,user pasted disabled veterans block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,basic_requirements_heading,11,contains,BASIC REQUIREMENTS,PASS,11,11,9,BASIC REQUIREMENTS,user pasted requirements block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,trial_hunting_program,11,contains,Utah's Trial Hunting Program,PASS,11,11,11,"mit, make sure you meet Utah's age, hunter education, license and permit requirements.",user pasted trial hunting block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,license_on_phone,12,contains,Keep your license on,PASS,12,12,10,"Keep your license on complete the course, you will receive your blue",user pasted mobile license block
