source_file,pdf_page_number,printed_page,line_number_on_pdf_page,token_type,token,line_text
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,1,number_or_money,2,2
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,2,number_or_money,5202,5202
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,10,number_or_money,7,Turn in a poacher 7 General-season dates
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,11,code_citation,800-662-3337,Phone: 800-662-3337 9 License fees
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,11,number_or_money,800,Phone: 800-662-3337 9 License fees
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,11,number_or_money,662,Phone: 800-662-3337 9 License fees
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,11,number_or_money,3337,Phone: 800-662-3337 9 License fees
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,11,number_or_money,9,Phone: 800-662-3337 9 License fees
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,12,number_or_money,847411,Text: 847411
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,13,number_or_money,9,9 Permit and application fees
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,15,number_or_money,10,10 Discounts for disabled veterans
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,17,number_or_money,11,11 Basic requirements
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,18,number_or_money,8,"Offices are open 8 a.m.-5 p.m.,"
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,18,number_or_money,5,"Offices are open 8 a.m.-5 p.m.,"
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,19,number_or_money,11,11 Utah's Trial Hunting Program
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,21,number_or_money,12,12 DWR mobile device
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,23,number_or_money,14,14 Apply for an antlerless permit
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,24,number_or_money,1594,1594 W North Temple
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,25,number_or_money,146301,Box 146301 14 Definition of youth
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,25,number_or_money,14,Box 146301 14 Definition of youth
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,26,number_or_money,84114,"Salt Lake City, UT 84114-6301 15 Over-the-counter permits"
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,2,2,26,number_or_money,6301,"Salt Lake City, UT 84114-6301 15 Over-the-counter permits"
