source_file,check_id,guidebook_page,match_type,expected_text,status,matched_pdf_page_number,matched_printed_page,matched_line_number_on_pdf_page,matched_line_text,source_note
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,contents_general_season_dates,2,contains,7 General-season dates,PASS,2,2,10,Turn in a poacher 7 General-season dates,user pasted contents
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,contents_definitions,2,contains,68 Definitions,PASS,2,2,67,68 Definitions,user pasted contents
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,utip_phone,2,contains,Phone: 800-662-3337,PASS,2,2,11,Phone: 800-662-3337 9 License fees,user pasted contact block
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,utip_text,2,contains,Text: 847411,PASS,2,2,12,Text: 847411,user pasted contact block
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,title_2025_field_regs,3,contains,This guidebook-along with the 2025,PASS,3,3,10,Residency requirements: To apply for a resi- This guidebook-along with the 2025,user pasted know-the-laws block
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,whats_new_residency,3,contains,Residency requirements,PASS,3,3,10,Residency requirements: To apply for a resi- This guidebook-along with the 2025,user pasted what's-new block
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,whats_new_nonresident_fee,3,contains,Nonresident fee increase,PASS,3,3,40,"Nonresident fee increase: In the 2025 governor, board members are not Division",user pasted what's-new block
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,restricted_weapons_four_units,4,contains,Deer restricted weapons hunts on four,PASS,4,4,9,Deer restricted weapons hunts on four spinal cord matter in Utah wildlife habitat areas,user pasted what's-new block
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,wma_license_requirement,4,contains,License required to access WMAs,PASS,4,4,24,"spotter, visit wildlife.utah.gov/licenses/guides",user pasted what's-new block
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,general_archery_deer_date,7,contains,General archery buck deer Aug. 16-Sept. 12,PASS,7,7,10,General-season dates Extended archery,user pasted season dates
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,draw_only_youth_elk_date,7,contains,Draw-only youth any Sept. 13-23,PASS,7,7,45,Draw-only youth any Sept. 13-23,user pasted season dates
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,sportsman_deer_elk_weapon_date,8,contains,"Deer and elk on any open unit Sept. 1, 2025-",PASS,8,8,15,"Extended archery deer Sept. 13- mits, see the information box on page 13.",user pasted sportsman dates
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,sportsman_bison_date,8,contains,"Bison on any open unit Aug. 1, 2025-",PASS,8,8,31,"Uinta Basin Bison on any open unit Aug. 1, 2025-",user pasted sportsman dates
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,license_fee_child,9,contains,13 and under $11 $34 $44,PASS,9,9,14,13 and under $11 $34 $44,user pasted license fees
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,application_fee,9,contains,Application fee $10 $16 $21,PASS,9,9,36,Permit and application fees,user pasted permit fees
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,antlerless_apply_window,14,contains,"Starting June 4, 2025",PASS,14,14,50,"Starting June 4, 2025, you can visit wildlife.",user pasted antlerless application dates
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,otc_july_8,15,contains,JULY 8,PASS,15,15,12,are available on different days throughout July. There are also a few other options for,user pasted OTC dates
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,otc_july_29,15,contains,JULY 29,PASS,15,15,12,are available on different days throughout July. There are also a few other options for,user pasted OTC dates
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,three_elk_permits,16,contains,A hunter can obtain up to three elk,PASS,16,16,12,A hunter can obtain up to three elk General-season bull elk permits will be,user pasted elk permit rules
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,youth_elk_private_lands_row,19,contains,Any legal weapon Uinta Basin private lands only Aug. 1-Nov. 15,PASS,19,19,11,Archery permit Early any legal weapon permit,post-publication update pasted by user
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,youth_draw_only_row,19,contains,Any legal weapon Any bull Sept. 13-Sept. 23,PASS,19,19,11,Archery permit Early any legal weapon permit,user pasted youth table
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,cwd_positive_counts,20,contains,342 mule deer and nine elk have tested positive,PASS,20,20,16,"since 1998. In that time, 342 mule deer and",user pasted CWD block
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,mandatory_reporting_late_deadline,21,contains,Hunts ending Jan. 16 or later must have a harvest report submitted by Feb. 15,PASS,21,21,18,limited-entry big game hunts in Utah for over,user pasted reporting block
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,late_fee_amount,21,contains,$50 late fee,PASS,21,21,31,New: Late-season harvest reporting,user pasted reporting block
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,muzzleloader_scope_limit,24,contains,Scopes stronger than 1x power are,PASS,24,24,18,lock and use a scope on archery equipment. Scopes stronger than 1x power are,user pasted weapon rules
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,muzzleloader_projectile_weights,25,contains,210-grain or heavier bullet,PASS,25,25,17,"210-grain or heavier bullet, or a sabot bullet pounds at the draw or the peak, whichever",user pasted weapon rules
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,hamss_no_scopes,26,contains,"Important: On all HAMSS hunts, no",PASS,26,26,34,"Important: On all HAMSS hunts, no The muzzleloader you use must be legal for",user pasted HAMSS rules
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,restricted_archery_specs,27,contains,Must be a single-stringed longbow or,PASS,27,27,11,Must be a single-stringed longbow or,user pasted restricted weapons rules
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,loaded_firearm_recodified_codes,27,contains,"76-11-102, 53-5a-3, 76-11-204",PASS,27,27,35,"Utah Code §§§§ 76-11-102, 53-5a-3, 76-11-204 and",post-publication code update
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,red_butte_removed,29,absent,Red Butte Research Natural Area,PASS,,,,,post-publication correction pasted by user
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,salt_lake_county_i80_i15,29,contains,Hunt buck deer or bull elk with a rifle or,PASS,29,29,11,"To hunt on Native American trust lands, you",user pasted Salt Lake County block
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,town_of_alton_new,30,contains,Town of Alton (new),PASS,30,30,29,Town of Alton (new),user pasted special restrictions
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,trail_camera_public_land_dates,31,contains,Trail cameras are prohibited on public land,PASS,31,31,48,utah.gov/trailcams for more information. a specific big game animal is prohibited. (This,user pasted prohibited methods
