check_id,printed_page,match_type,expected_text,source_note,status
cover_title,1,contains,2025-26 GROUSE HARE PARTRIDGE PHEASANT PTARMIGAN QUAIL RABBIT TURKEY,cover,PASS
contents_key_dates,2,contains,7 Key dates and fees,contents,PASS
contents_turkey_permits,2,contains,17 Turkey permits,contents,PASS
contents_season_dates,2,contains,"37 Season dates, bag and possession",contents,PASS
utip_phone,2,contains,Phone: 800-662-3337,contact block,PASS
utip_text,2,contains,Text: 847411,contact block,PASS
migratory_game_moved,3,contains,Migratory game birds have moved,what's new,PASS
turkey_drawing_dates,3,contains,"the application period runs from Dec. 16-30, 2025",what's new,PASS
nonresident_fee_increase,4,contains,Nonresident fee increase,what's new,PASS
wma_license_requirement,4,contains,License required to access WMAs,what's new,PASS
fall_management_harvest,5,contains,Fall turkey management harvest hunt,reminders,PASS
air_rifles_allowed,5,contains,Air rifles allowed for specific hunts,reminders,PASS
turkey_limited_fee,7,contains,Turkey limited-entry permit $40,fees,PASS
turkey_general_fee,7,contains,Turkey general-season permit $40,fees,PASS
application_fee,7,contains,Application fee,fees,PASS
fall_2025_dates,7,contains,Fall 2025 turkey hunts,season dates,PASS
spring_limited_dates,7,contains,"April 11-30, 2026",season dates,PASS
spring_youth_dates,7,contains,"May 1-3, 2026",season dates,PASS
spring_general_dates,7,contains,"May 4-31, 2026",season dates,PASS
turkey_apply_dec_16,7,contains,"Limited-entry applications Dec. 16, 2025",application dates,PASS
turkey_deadline_dec_30,7,contains,"Application deadline Dec. 30, 2025",application dates,PASS
turkey_results_jan_8,7,contains,"Drawing results available Jan. 8, 2026",application dates,PASS
remaining_permits_march_10,7,contains,"Remaining limited-entry March 10, 2026",application dates,PASS
hunter_education,9,contains,Is hunter education gov/huntereducation,basic requirements,PASS
trial_hunting,11,contains,Utah's Trial Hunting Program,basic requirements,PASS
upland_permit_species,12,contains,Greater sage-grouse,upland permits,PASS
application_website_change,16,contains,utah-hunt.com utahdraws.com,application website,PASS
turkey_permit_types,17,contains,Limited-entry permits (spring),turkey permits,PASS
turkey_one_spring_permit,17,contains,You may obtain one permit for,turkey permits,PASS
youth_limited_entry,18,contains,Fifteen percent of Utah's turkey limited-entry,youth turkey,PASS
turkey_application_fee_2026,19,contains,$10 for residents and $21 for nonresidents,application fees,PASS
waiting_periods,19,contains,Waiting periods do not apply to turkey,bonus points,PASS
fall_management_regions,21,contains,"Central Region, Oct. 1, 2025-Feb. 28, 2026",fall management,PASS
utahdraws,22,contains,"From Dec. 16-30, 2025, residents and",application instructions,PASS
march_10_remaining,23,contains,March 10: Spring general-season,remaining permits,PASS
cwmu_program,23,contains,Cooperative Wildlife Management Unit permits,CWMU permits,PASS
wild_turkey_weapons,24,contains,You may hunt and harvest a turkey,field regulations,PASS
air_rifle_2000,24,contains,"minimum of 2,000 per square inch",field regulations,PASS
areas_closed_turkey,26,contains,Areas closed to turkey hunting,field regulations,PASS
baiting,28,contains,upland game or wild turkey by baiting,hunting methods,PASS
electronic_calls,29,contains,"You may not use drones, live decoys, recorded",hunting methods,PASS
tagging_requirements,31,contains,You must tag the carcass of a greater sage-grouse,possession,PASS
head_and_beard,32,contains,the head and beard (if applicable) of the turkey,transport,PASS
wma_rules,35,contains,WILDLIFE MANAGEMENT AREA RULES,WMA rules,PASS
wild_turkey_fall,38,contains,Wild turkey (Fall management harvest hunts),turkey hunt tables,PASS
limited_entry_codes,39,contains,"Central (TK1003), Northeastern (TK1004), Northern (TK1005), Southeastern",limited entry codes,PASS
southern_code,39,contains,(TK1006) and Southern (TK1007) areas,limited entry codes,PASS
bonus_point_tky,39,contains,"To apply for a bonus point, use the code TKY",bonus point code,PASS
cwmu_codes,39,contains,Pahvant Ensign (TK1018) and East Zion (TK1021),CWMU codes,PASS
shooting_hours,42,contains,Shooting hours for all upland game species,shooting hours,PASS
wild_turkey_identification,46,contains,There are two subspecies of wild turkey in Utah,species identification,PASS
turkey_age,51,contains,DETERMINING A SPRING TURKEY'S AGE,turkey age,PASS
definition_resident,53,contains,Resident means a person who has a domicile,definitions,PASS
