current_hunt_code,current_hunt_name,current_species,current_hunt_type,current_weapon,current_2026_total,comparison_status,guidebook_match_status,guidebook_candidate_codes,guidebook_candidate_pages,guidebook_candidate_names,guidebook_candidate_lines,match_method,review_priority,review_reason
DB1121,Antelope Island Management,Deer,Premium Limited Entry,Any Legal Weapon,2,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA2026,"Box Elder, Hansel Mtn",Elk,Private Lands Only,Any Legal Weapon,200,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA2027,Cache,Elk,Private Lands Only,Any Legal Weapon,250,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
LO1627,Cache,Deer,General Season - Private Land Only,Restricted Rifle,2,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1627,42,Cache (new),Cache (new) DB1627 Oct. 18–Oct. 26,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
LO1628,Cache,Deer,General Season - Private Land Only,Restricted Muzzleloader,2,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1628,43,Cache (new),Cache (new) DB1628 Sept. 24–Oct. 2,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
EB3168,"Cache, Meadowville",Elk,Limited Entry,Late Archery,5,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,EXACT_CURRENT_CODE_IN_2025_GUIDEBOOK,EB3168,51,"Cache, Meadowville","Cache, Meadowville † EB3168 Nov. 29–Dec. 14",exact_code,NONE,Current code appears exactly in the 2025 guidebook.
EL3168,Cache Meadowville,Elk,Limited Entry - Private Land Only,Archery,14,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,EB3168,51,"Cache, Meadowville","Cache, Meadowville † EB3168 Nov. 29–Dec. 14",EL_to_EB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
EA2011,Manti,Elk,Private Lands Only,Any Legal Weapon,300,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,NAME_SPECIES_CANDIDATES_IN_2025_GUIDEBOOK,EB3006|EB3172|EB3038|EB3126|EB3039|EB3084|EB3108,50|51|52|53|54|55|56,Manti,Manti EB3006 Aug. 16–Sept. 16|Manti EB3172 Nov. 29–Dec. 14|Manti EB3038 Sept. 17–Sept. 21|Manti EB3126 Oct. 4–Oct. 16|Manti EB3039 Nov. 8–Nov. 16|Manti EB3084 Sept. 22–Oct. 3|Manti EB3108 Limited-entry seasons,same_species_normalized_name,MEDIUM,Same species and normalized hunt name found in the 2025 guidebook; candidate evidence only.
EA2004,Chalk Creek,Elk,Private Lands Only,Any Legal Weapon,600,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA2039,"Fillmore, Pahvant",Elk,Private Lands Only,Any Legal Weapon,150,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,NAME_SPECIES_CANDIDATES_IN_2025_GUIDEBOOK,EB3008|EB3180|EB3042|EB3181|EB3043|EB3086|EB3110,50|51|52|53|54|55|56,"Fillmore, Pahvant","Fillmore, Pahvant EB3008 Aug. 16–Sept. 16|Fillmore, Pahvant EB3180 Nov. 29–Dec. 14|Fillmore, Pahvant EB3042 Sept. 17–Sept. 21|Fillmore, Pahvant EB3181 Oct. 4–Oct. 16|Fillmore, Pahvant EB3043 Nov. 8–Nov. 16|Fillmore, Pahvant EB3086 Sept. 22–Oct. 3|Fillmore, Pahvant EB3110 Limited-entry seasons",same_species_normalized_name,MEDIUM,Same species and normalized hunt name found in the 2025 guidebook; candidate evidence only.
BI6539,Henry Mtns,Bison,Once-in-a-lifetime,Any Legal Weapon,11,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,NAME_SPECIES_CANDIDATES_IN_2025_GUIDEBOOK,BI6503|BI6504|BI6516|BI6505|BI6506|BI6509,61,Henry Mtns,"Henry Mtns BI6503 Nov. 1–Nov. 12|Henry Mtns BI6504 Nov. 15–Nov. 26|Henry Mtns BI6516 Nov. 29–Dec. 10|Henry Mtns BI6505 Dec. 13–Dec. 24|Henry Mtns BI6506 Dec. 27, 2025–Jan. 13, 2026|Henry Mtns BI6509 Jan. 14–Jan. 31, 2026",same_species_normalized_name,MEDIUM,Same species and normalized hunt name found in the 2025 guidebook; candidate evidence only.
BR7021,Dolores Triangle,Black Bear,Limited Entry - Spring,Any Legal Weapon,2,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
BR7126,Dolores Triangle,Black Bear,Limited Entry - Summer,Any Legal Weapon,6,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
BR7238,Dolores Triangle,Black Bear,Limited Entry - Fall,Any Legal Weapon,2,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA2019,"West Desert, Tintic Valley",Elk,Private Lands Only,Any Legal Weapon,60,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA2002,Morgan-South Rich,Elk,Private Lands Only,Any Legal Weapon,600,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,NAME_SPECIES_CANDIDATES_IN_2025_GUIDEBOOK,EB3208,54,Morgan-South Rich (new),Morgan-South Rich (new) EB3208 Dec. 20–Dec. 28,same_species_normalized_name,MEDIUM,Same species and normalized hunt name found in the 2025 guidebook; candidate evidence only.
EA2008,"Nine Mile, Anthro-Myton Bench",Elk,Private Lands Only,Any Legal Weapon,250,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA2005,"North Slope, West Daggett",Elk,Private Lands Only,Any Legal Weapon,100,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA2015,Paunsaugunt,Elk,Private Lands Only,Any Legal Weapon,75,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA2030,Diamond Mtn,Elk,Private Lands Only,Any Legal Weapon,200,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,NAME_SPECIES_CANDIDATES_IN_2025_GUIDEBOOK,EB3020|EB3195|EB3068|EB3069|EB3196|EB3098|EB3122,50|51|52|53|54|55|56,Diamond Mtn,Diamond Mtn EB3020 Aug. 16–Sept. 16|Diamond Mtn EB3195 Nov. 29–Dec. 14|Diamond Mtn EB3068 Sept. 17–Sept. 21|Diamond Mtn EB3069 Oct. 4–Oct. 16|Diamond Mtn EB3196 Nov. 8–Nov. 16|Diamond Mtn EB3098 Sept. 22–Oct. 3|Diamond Mtn EB3122 Limited-entry seasons,same_species_normalized_name,MEDIUM,Same species and normalized hunt name found in the 2025 guidebook; candidate evidence only.
