hunt_code,hunt_name,weapon,hunt_type,season_dates_2026,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res_allotted,permits_2026_nr_allotted,permits_2026_total_allotted,database_2026_res,database_2026_nr,database_2026_total,runtime_2026_res,runtime_2026_nr,runtime_2026_total,database_delta_res,database_delta_nr,database_delta_total,runtime_delta_res,runtime_delta_nr,runtime_delta_total,database_status,runtime_status,significant_database_difference,significant_runtime_difference,source_document,source_note
EA1222,"Beaver, East",Any Legal Weapon,General Season,Nov 21 2026 - Dec 11 2026,27,3,30,36,4,40,36,4,40,36,4,40,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1223,"Beaver, East",Any Legal Weapon,General Season,Dec 12 2026 - Dec 26 2026,27,3,30,36,4,40,36,4,40,36,4,40,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1224,"Book Cliffs, Bitter Creek/South",Any Legal Weapon,General Season,Oct 03 2026 - Oct 15 2026,117,13,130,117,13,130,117,13,130,117,13,130,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1225,"Book Cliffs, Bitter Creek/South",Any Legal Weapon,General Season,Nov 16 2026 - Dec 13 2026,147,16,163,147,16,163,147,16,163,147,16,163,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1077,Boulder-Circle Cliffs,Any Legal Weapon,General Season,Oct 07 2026 - Jan 10 2027,27,3,30,27,3,30,27,3,30,27,3,30,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1075,Boulder East,Any Legal Weapon,General Season,Nov 21 2026 - Dec 31 2026,45,5,50,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1076,Boulder West,Any Legal Weapon,General Season,Nov 21 2026 - Dec 31 2026,45,5,50,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1287,"Box Elder, Grouse Creek",Any Legal Weapon,General Season,Nov 06 2026 - Jan 31 2027,0,0,0,27,3,30,27,3,30,27,3,30,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1266,"Box Elder, Hansel Mtn",Any Legal Weapon,General Season,Aug 01 2026 - Jan 31 2027,18,2,20,27,3,30,27,3,30,27,3,30,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1203,"Box Elder, Pilot Mtn",Any Legal Weapon,General Season,Aug 01 2026 - Aug 15 2026,4,1,5,4,1,5,4,1,5,4,1,5,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1204,"Box Elder, Pilot Mtn",Any Legal Weapon,General Season,Oct 10 2026 - Oct 31 2026,4,1,5,4,1,5,4,1,5,4,1,5,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1267,Cache,Any Legal Weapon,General Season,Oct 03 2026 - Oct 25 2026,81,9,90,180,20,200,180,20,200,180,20,200,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1010,"Cache, Rich",Any Legal Weapon,General Season,Oct 03 2026 - Oct 25 2026,18,2,20,31,4,35,31,4,35,31,4,35,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1193,"Cache, Rich",Any Legal Weapon,General Season,Nov 14 2026 - Jan 15 2027,18,2,20,31,4,35,31,4,35,31,4,35,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1011,"Cache, Richards Hollow",Any Legal Weapon,General Season,Nov 14 2026 - Dec 31 2026,9,1,10,18,2,20,18,2,20,18,2,20,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1026,Chalk Creek,Any Legal Weapon,General Season,Nov 07 2026 - Jan 30 2027,315,35,350,315,35,350,315,35,350,315,35,350,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1089,Diamond Mtn,Any Legal Weapon,General Season,Oct 31 2026 - Nov 08 2026,45,5,50,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
