current_hunt_code,current_prefix,current_hunt_name,species,sex_type,weapon,hunt_type,season,in_database_2026,database_permits_2026_res,database_permits_2026_nonres,database_permits_2026_total,overlay_source_files,historical_hunt_code,historical_prefix,candidate_historical_codes,historical_years,relationship_type,crosswalk_status,mapping_confidence,mapping_method,data_quality_grade,backcheck_best_match_method,backcheck_reason_code,backcheck_candidates,full_joined_name_match_codes,full_joined_exact_history_years,full_joined_name_match_years,recommended_model_behavior,source_files,notes
BI6527,BI,Nine Mile,Bison,Hunters Choice,Any Legal Weapon,General Season,"Aug 1, 2025 - Jan 31, 2026",YES,,,,data_truth/permit_overlay_truth/normalized/final_reference_hunt_code_lock_2026.csv,BI6527,BI,BI6527,2021|2022|2024|2025,EXACT_CODE_HISTORY,PROMOTED_EXACT_HISTORY,HIGH,exact_history,B,exact_hunt_code,EXACT_CODE_HISTORY_USED,,BI6527,2021|2022|2024|2025,2021|2022|2024|2025,USE_EXACT_HUNT_CODE_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,Code was independently locked by permit overlay/reference workflow.
BI6538,BI,"Nine Mile, Private Lands Only",Bison,Hunters Choice,Any Legal Weapon,General Season,"Aug 1, 2025 - Jan 31, 2026 | Harvest survey due by Feb 15, 2026 Visit: http://wildlife.utah.gov/harvest to submit your survey",YES,,,,data_truth/permit_overlay_truth/normalized/final_reference_hunt_code_lock_2026.csv,BI6538,BI,BI6538,2024,EXACT_CODE_HISTORY,PROMOTED_EXACT_HISTORY,HIGH,exact_history,B,,,,BI6538,2024,2024,USE_EXACT_HUNT_CODE_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,Code was independently locked by permit overlay/reference workflow.
CG9999,CG,Cougar - Statewide,Cougar,Either Sex,Any Legal Weapon,Statewide,,YES,,,,data_truth/permit_overlay_truth/normalized/final_reference_hunt_code_lock_2026.csv,,,,,CURRENT_REFERENCE_ONLY,CURRENT_REFERENCE_ONLY_NEEDS_REVIEW,LOW,reference_only,D,,,,,,,USE_SPECIES_FAMILY_FALLBACK_AND_MANUAL_REVIEW,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,Code was independently locked by permit overlay/reference workflow. No dependable older-code mapping was promoted; keep as current reference only.
DS1000,DS,Desert Bighorn Sheep - Statewide Permit,Desert Bighorn Sheep,Male Only,Any Legal Weapon,Statewide,"Sept 1 - Dec 31, 2026",YES,1,0,1,data_truth/permit_overlay_truth/normalized/desert_bighorn_conservation_permit_code_lock_2026.csv,DS1000,DS,DS1000,2022|2023|2025,EXACT_CODE_HISTORY,PROMOTED_EXACT_HISTORY,HIGH,exact_history,A,exact_hunt_code,EXACT_CODE_HISTORY_USED,,DS1000,2022|2023|2025,2023|2025,USE_EXACT_HUNT_CODE_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,Code was independently locked by permit overlay/reference workflow.
DS1002,DS,"Kaiparowits, East",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",YES,1,0,1,data_truth/permit_overlay_truth/normalized/desert_bighorn_conservation_permit_code_lock_2026.csv,DS6601,DS,DS1002|DS6601,2021|2022|2023|2024|2025,PARALLEL_CONSERVATION_TO_PUBLIC_OIAL_2026,PROMOTED_PARALLEL_PUBLIC_UNIT_REFERENCE,HIGH,parallel_conservation_public_oial,B,exact_hunt_code,EXACT_CODE_HISTORY_USED,"2021:DS6601:Kaiparowits, East*; 2022:DS6601:Kaiparowits, East; 2023:DS6601:Kaiparowits, East; 2024:DS6601:Kaiparowits, East",DS1002|DS6601,2022|2023|2025,2021|2022|2023|2024|2025,USE_EXACT_HUNT_CODE_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|data_truth/permit_overlay_truth/normalized/desert_bighorn_permits_2026_canonical.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,"Code was independently locked by permit overlay/reference workflow. Desert bighorn conservation code is a parallel current permit opportunity, not a replacement for the public once-in-a-lifetime row(s)."
DS1003,DS,"Kaiparowits, Escalante East/West",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 12 - Nov 10, 2026",YES,1,0,1,data_truth/permit_overlay_truth/normalized/desert_bighorn_conservation_permit_code_lock_2026.csv,DS6626|DS6627,DS,DS6602,2021|2022|2023|2024|2025,PARALLEL_CONSERVATION_TO_PUBLIC_OIAL_2026,PROMOTED_PARALLEL_PUBLIC_UNIT_REFERENCE,HIGH,parallel_conservation_public_oial,B,exact_hunt_code,EXACT_CODE_HISTORY_USED,"2021:DS6602:Kaiparowits, Escalante; 2022:DS6602:Kaiparowits, Escalante; 2023:DS6602:Kaiparowits, Escalante; 2024:DS6602:Kaiparowits, Escalante",,2022|2023|2024|2025,,USE_EXACT_HUNT_CODE_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|data_truth/permit_overlay_truth/normalized/desert_bighorn_permits_2026_canonical.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,"Code was independently locked by permit overlay/reference workflow. Desert bighorn conservation code is a parallel current permit opportunity, not a replacement for the public once-in-a-lifetime row(s)."
DS1004,DS,"San Rafael, Dirty Devil",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13 - Dec 31, 2025",YES,1,0,1,data_truth/permit_overlay_truth/normalized/desert_bighorn_conservation_permit_code_lock_2026.csv,DS6608|DS6624,DS,DS1004|DS6608|DS6624,2021|2022|2023|2024|2025,PARALLEL_CONSERVATION_TO_PUBLIC_OIAL_2026,PROMOTED_PARALLEL_PUBLIC_UNIT_REFERENCE,HIGH,parallel_conservation_public_oial,B,exact_hunt_code,EXACT_CODE_HISTORY_USED,"2021:DS6608:San Rafael, Dirty Devil**; 2022:DS6608:San Rafael, Dirty Devil; 2022:DS6624:San Rafael, Dirty Devil; 2023:DS6608:San Rafael, Dirty Devil; 2023:DS6624:San Rafael, Dirty Devil; 2024:DS6608:San Rafael, Dirty Devil|San Rafael, Dirty Devil*",DS1004|DS6608|DS6624,2022|2023|2025,2021|2022|2023|2024|2025,USE_EXACT_HUNT_CODE_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|data_truth/permit_overlay_truth/normalized/desert_bighorn_permits_2026_canonical.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,"Code was independently locked by permit overlay/reference workflow. Desert bighorn conservation code is a parallel current permit opportunity, not a replacement for the public once-in-a-lifetime row(s)."
DS1006,DS,"Kaiparowits, West",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",YES,1,0,1,data_truth/permit_overlay_truth/normalized/desert_bighorn_conservation_permit_code_lock_2026.csv,DS6603,DS,DS1006|DS6603,2021|2022|2023|2024|2025,PARALLEL_CONSERVATION_TO_PUBLIC_OIAL_2026,PROMOTED_PARALLEL_PUBLIC_UNIT_REFERENCE,HIGH,parallel_conservation_public_oial,B,exact_hunt_code,EXACT_CODE_HISTORY_USED,"2021:DS6603:Kaiparowits, West; 2022:DS6603:Kaiparowits, West; 2023:DS6603:Kaiparowits, West; 2024:DS6603:Kaiparowits, West",DS1006|DS6603,2022|2023|2024|2025,2021|2022|2023|2024|2025,USE_EXACT_HUNT_CODE_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|data_truth/permit_overlay_truth/normalized/desert_bighorn_permits_2026_canonical.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,"Code was independently locked by permit overlay/reference workflow. Desert bighorn conservation code is a parallel current permit opportunity, not a replacement for the public once-in-a-lifetime row(s)."
DS1007,DS,"San Rafael, South",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",YES,1,0,1,data_truth/permit_overlay_truth/normalized/desert_bighorn_conservation_permit_code_lock_2026.csv,DS6610,DS,DS1007|DS6610,2021|2022|2023|2024|2025,PARALLEL_CONSERVATION_TO_PUBLIC_OIAL_2026,PROMOTED_PARALLEL_PUBLIC_UNIT_REFERENCE,HIGH,parallel_conservation_public_oial,B,exact_hunt_code,EXACT_CODE_HISTORY_USED,"2021:DS6610:San Rafael, South†; 2022:DS6610:San Rafael, South; 2023:DS6610:San Rafael, South; 2024:DS6610:San Rafael, South|San Rafael, South**",DS1007|DS6610,2022|2023|2024|2025,2021|2022|2023|2024|2025,USE_EXACT_HUNT_CODE_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|data_truth/permit_overlay_truth/normalized/desert_bighorn_permits_2026_canonical.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,"Code was independently locked by permit overlay/reference workflow. Desert bighorn conservation code is a parallel current permit opportunity, not a replacement for the public once-in-a-lifetime row(s)."
DS6605,DS,"Pine Valley, Beaver Dam",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",YES,1,0,1,data_truth/permit_overlay_truth/normalized/desert_bighorn_conservation_permit_code_lock_2026.csv,DS6621,DS,DS6621,2021|2022|2023|2024|2025,PARALLEL_CONSERVATION_TO_PUBLIC_OIAL_2026,PROMOTED_PARALLEL_PUBLIC_UNIT_REFERENCE,HIGH,parallel_conservation_public_oial,B,none,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,,DS6621,2025,2021|2022|2023|2024|2025,USE_EXACT_HUNT_CODE_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|data_truth/permit_overlay_truth/normalized/desert_bighorn_permits_2026_canonical.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,"Code was independently locked by permit overlay/reference workflow. Desert bighorn conservation code is a parallel current permit opportunity, not a replacement for the public once-in-a-lifetime row(s)."
