hunt_code,hunt_name,species,hunt_type,weapon,residency,draw_pool,public_permits_2025,public_permits_2026,permits_2026_total,permit_delta,permit_status,source_file_2026,coverage_reason,audit_label,audit_rationale
EA2038,Wasatch Mtns,Elk,General Season,Archery,Resident,standard,465,1080,1200,615,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA2033,Kamas,Elk,General Season,Any Legal Weapon,Resident,standard,47,225,250,178,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA2034,"Nine Mile, Anthro",Elk,General Season,Archery,Resident,standard,8,180,200,172,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1282,"Ogden, North",Elk,General Season,Archery,Resident,standard,10,180,200,170,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1280,"La Sal, La Sal Mtns-North",Elk,General Season,Any Legal Weapon,Resident,standard,14,157,175,143,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA2037,Yellowstone,Elk,General Season,Archery,Resident,standard,57,180,200,123,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1237,"La Sal, La Sal Mtns-North",Elk,General Season,Any Legal Weapon,Resident,standard,42,157,175,115,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1268,"North Slope, Summit",Elk,General Season,Archery,Resident,standard,77,180,200,103,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA2038,Wasatch Mtns,Elk,General Season,Archery,Nonresident,standard,24,120,1200,96,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1129,Deseret CWMU,Elk,CWMU,Any Legal Weapon,Resident,standard,340,425,425,85,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1189,"Wasatch Mtns, West-Central",Elk,General Season,Muzzleloader,Resident,standard,299,382,425,83,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1026,Chalk Creek,Elk,General Season,Any Legal Weapon,Resident,standard,242,315,350,73,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
PB5076,Parker Mtn,Pronghorn,Limited Entry,Any Legal Weapon,Resident,standard,72,135,150,63,FULL_SPLIT,pronghorn buck.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
EA1022,"Manti, North",Elk,General Season,Any Legal Weapon,Resident,standard,216,270,300,54,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1208,Nebo,Elk,General Season,Any Legal Weapon,Resident,standard,198,247,275,49,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1078,Fishlake/Thousand Lakes,Elk,General Season,Any Legal Weapon,Resident,standard,195,243,270,48,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1021,Nebo,Elk,General Season,Any Legal Weapon,Resident,standard,166,207,230,41,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1117,Zion,Elk,General Season,Any Legal Weapon,Resident,standard,159,198,220,39,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1038,"La Sal, La Sal Mtns",Elk,General Season,Any Legal Weapon,Resident,standard,145,180,200,35,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EB3127,Wasatch Mtns,Elk,Limited Entry,Mid Any Legal Weapon,Resident,standard,190,155,172,-35,FULL_SPLIT,BULL ELK DATABASE.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
EA1106,"Wasatch Mtns, Avintaquin",Elk,General Season,Any Legal Weapon,Resident,standard,146,180,200,34,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1026,Chalk Creek,Elk,General Season,Any Legal Weapon,Nonresident,standard,4,35,350,31,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EB3022,Wasatch Mtns,Elk,Limited Entry,Archery,Resident,standard,160,130,145,-30,FULL_SPLIT,BULL ELK DATABASE.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
EA1225,"Book Cliffs, Bitter Creek/South",Elk,General Season,Muzzleloader,Resident,standard,118,147,163,29,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1229,Morgan-South Rich,Elk,General Season,Any Legal Weapon,Resident,standard,116,144,160,28,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1039,"La Sal, La Sal Mtns",Elk,General Season,Any Legal Weapon,Resident,standard,108,135,150,27,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1236,East Canyon,Elk,General Season,Any Legal Weapon,Resident,standard,108,135,150,27,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
DB1017,"Book Cliffs, North",Deer,Limited Entry,Any Legal Weapon,Resident,standard,111,137,152,26,FULL_SPLIT,BUCK DEER.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
