path,directory,file_name,extension,size_bytes,size_mb,git_tracked,modified_status,sha256,likely_file_role,recommended_action,reason_code,online_needed,cloudflare_needed,github_needed,local_archive_needed,delete_candidate,notes
.gitattributes,,.gitattributes,.gitattributes,1169,0.001,TRUE,M,22ff1c680be2ebe8d9df090444367125003cfe6a089c94466c6bf5a8f12be9d5,unclear_project_file,REVIEW_REQUIRED,ROLE_UNCLEAR,FALSE,FALSE,FALSE,FALSE,FALSE,
.gitignore,,.gitignore,.gitignore,979,0.001,TRUE,,2ec12e0639a7263659591579cbd2ab5e26ef4588f867e0e400c6edbb74254783,unclear_project_file,REVIEW_REQUIRED,ROLE_UNCLEAR,FALSE,FALSE,FALSE,FALSE,FALSE,DUPLICATE_BASENAME_DIFFERENT_HASH
.nojekyll,,.nojekyll,.nojekyll,2,0.000,TRUE,,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,online_static_site_asset,ONLINE_STATIC_SITE,LIVE_WEBSITE_SHELL_OR_ASSET,TRUE,FALSE,TRUE,FALSE,FALSE,DUPLICATE_BASENAME_SAME_HASH
.pytest_cache/.gitignore,.pytest_cache,.gitignore,.gitignore,39,0.000,FALSE,,e7c6bb30148cf667606dcd63e7ca77acaa3cfb0c8303bf09e6419e1e1669dc6d,cache_or_temporary_file,DELETE_AFTER_BACKUP,CACHE_TEMP_OR_EMPTY_ARTIFACT,FALSE,FALSE,FALSE,FALSE,TRUE,
.pytest_cache/CACHEDIR.TAG,.pytest_cache,CACHEDIR.TAG,.tag,191,0.000,FALSE,,37dc88ef9a0abeddbe81053a6dd8fdfb13afb613045ea1eb4a5c815a74a3bde4,cache_or_temporary_file,DELETE_AFTER_BACKUP,CACHE_TEMP_OR_EMPTY_ARTIFACT,FALSE,FALSE,FALSE,FALSE,TRUE,
.pytest_cache/README.md,.pytest_cache,README.md,.md,310,0.000,FALSE,,420e808d79a6c25d3cda0af33bc4782314a14949866682c68ce8149e89b66b70,cache_or_temporary_file,DELETE_AFTER_BACKUP,CACHE_TEMP_OR_EMPTY_ARTIFACT,FALSE,FALSE,FALSE,FALSE,TRUE,
.pytest_cache/v/cache/lastfailed,.pytest_cache/v/cache,lastfailed,,2,0.000,FALSE,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,cache_or_temporary_file,DELETE_AFTER_BACKUP,CACHE_TEMP_OR_EMPTY_ARTIFACT,FALSE,FALSE,FALSE,FALSE,TRUE,
.pytest_cache/v/cache/nodeids,.pytest_cache/v/cache,nodeids,,39043,0.037,FALSE,,fd78e722dd5673857089a9e3750859e3f7578094e3eb7b45f18589e9eeb0a96e,cache_or_temporary_file,DELETE_AFTER_BACKUP,CACHE_TEMP_OR_EMPTY_ARTIFACT,FALSE,FALSE,FALSE,FALSE,TRUE,
__pycache__/extract_permits.cpython-312.pyc,__pycache__,extract_permits.cpython-312.pyc,.pyc,16849,0.016,FALSE,,a758d88495e25e7a1f59b3ba2980d0ae18a8107bafe667582e25d181965c38b2,cache_or_temporary_file,DELETE_AFTER_BACKUP,CACHE_TEMP_OR_EMPTY_ARTIFACT,FALSE,FALSE,FALSE,FALSE,TRUE,
_exports/current_year_permit_numbers_patch_candidates_157.csv,_exports,current_year_permit_numbers_patch_candidates_157.csv,.csv,9339,0.009,FALSE,,b6950835fa870613a50e28cf8e638f9c5b9f37eaa1cee01f51896f855f3d12c9,unclear_project_file,KEEP_IN_GITHUB,SMALL_PROJECT_FILE,FALSE,FALSE,TRUE,FALSE,FALSE,DUPLICATE_BASENAME_SAME_HASH
AGENTS.MD,,AGENTS.MD,.md,9979,0.010,TRUE,,8bbe9342690a7e724dc6242fb77c623c9f68e5d3b2cad171d734f8efe4749fee,documentation_or_schema,KEEP_IN_GITHUB_DOC_OR_SCHEMA,DOC_OR_SCHEMA,FALSE,FALSE,TRUE,FALSE,FALSE,
app.js,,app.js,.js,223298,0.213,TRUE,,5eb93131e497459799970fbe45f2c09c5bef908075a0fb4b4e93e6ff933ea183,online_static_site_asset,ONLINE_STATIC_SITE,LIVE_WEBSITE_SHELL_OR_ASSET,TRUE,FALSE,TRUE,FALSE,FALSE,DUPLICATE_BASENAME_SAME_HASH
apply-2026-supplements.js,,apply-2026-supplements.js,.js,3720,0.004,TRUE,,18ce2d184b6e50ad7a324eecf4388b4c0f0c4da8bef12489588c32f5dd15569f,unclear_project_file,KEEP_IN_GITHUB,SMALL_PROJECT_FILE,FALSE,FALSE,TRUE,FALSE,FALSE,
assets/backgrounds/ELK-LICENSE-PLATE-PAGE.png,assets/backgrounds,ELK-LICENSE-PLATE-PAGE.png,.png,304026,0.290,TRUE,,6da982cf76ce7eb87f321a64fd65be03a9c58cf34336517e08010b621829f492,online_static_site_asset,ONLINE_STATIC_SITE,LIVE_WEBSITE_SHELL_OR_ASSET,TRUE,FALSE,TRUE,FALSE,FALSE,DUPLICATE_BASENAME_SAME_HASH
assets/backgrounds/tan topo.png,assets/backgrounds,tan topo.png,.png,4144128,3.952,TRUE,,e63aa63b62fe0ca6575fd6faf6beb7ad65480c8dcca7831677161e22281e8bcd,online_static_site_asset,ONLINE_STATIC_SITE,LIVE_WEBSITE_SHELL_OR_ASSET,TRUE,FALSE,TRUE,FALSE,FALSE,DUPLICATE_BASENAME_SAME_HASH
assets/backgrounds/topo-black-white-line-001.jpg,assets/backgrounds,topo-black-white-line-001.jpg,.jpg,132818,0.127,TRUE,,727305290509f3b4a31f44fcf0ce2c31166792ce421309b4cb295ca3c6ad67db,online_static_site_asset,ONLINE_STATIC_SITE,LIVE_WEBSITE_SHELL_OR_ASSET,TRUE,FALSE,TRUE,FALSE,FALSE,DUPLICATE_BASENAME_SAME_HASH
assets/backgrounds/topo-black-white-line.jpg,assets/backgrounds,topo-black-white-line.jpg,.jpg,154015,0.147,TRUE,,d75bf7e089f98eafb7045e98211d5d523609560de2292377dc58cdaccd7c0818,online_static_site_asset,ONLINE_STATIC_SITE,LIVE_WEBSITE_SHELL_OR_ASSET,TRUE,FALSE,TRUE,FALSE,FALSE,DUPLICATE_BASENAME_SAME_HASH
assets/backgrounds/topo-black-with-hills.jpg,assets/backgrounds,topo-black-with-hills.jpg,.jpg,70426,0.067,TRUE,,0fbebdb7aefe84e944a2c469ef8064bef1f350e863799c2fbf4dbf014ac91f4a,online_static_site_asset,ONLINE_STATIC_SITE,LIVE_WEBSITE_SHELL_OR_ASSET,TRUE,FALSE,TRUE,FALSE,FALSE,DUPLICATE_BASENAME_SAME_HASH
assets/backgrounds/topo15_edited_edited.jpg,assets/backgrounds,topo15_edited_edited.jpg,.jpg,2476001,2.361,TRUE,,a1b861cf17f4ac720b3b564e6a59d3d23ce0532cdd0372e478275b4e72bf144a,online_static_site_asset,ONLINE_STATIC_SITE,LIVE_WEBSITE_SHELL_OR_ASSET,TRUE,FALSE,TRUE,FALSE,FALSE,DUPLICATE_BASENAME_SAME_HASH
assets/backgrounds/White Topo 20.jpg,assets/backgrounds,White Topo 20.jpg,.jpg,126701,0.121,TRUE,,edfd244b89dac09f352f638fadcfe00f1003453f38c84e259476ad81b778e888,online_static_site_asset,ONLINE_STATIC_SITE,LIVE_WEBSITE_SHELL_OR_ASSET,TRUE,FALSE,TRUE,FALSE,FALSE,DUPLICATE_BASENAME_SAME_HASH
assets/backgrounds/White Topo 21.jpg,assets/backgrounds,White Topo 21.jpg,.jpg,624188,0.595,TRUE,,8bae364158ac592b8d937107a0eebb9436bf3dbbb1efb2fa9d7a3e684f98b3a7,online_static_site_asset,ONLINE_STATIC_SITE,LIVE_WEBSITE_SHELL_OR_ASSET,TRUE,FALSE,TRUE,FALSE,FALSE,DUPLICATE_BASENAME_SAME_HASH
assets/logos/backgrounds/topo-black-white-line.jpg,assets/logos/backgrounds,topo-black-white-line.jpg,.jpg,154015,0.147,TRUE,,d75bf7e089f98eafb7045e98211d5d523609560de2292377dc58cdaccd7c0818,online_static_site_asset,ONLINE_STATIC_SITE,LIVE_WEBSITE_SHELL_OR_ASSET,TRUE,FALSE,TRUE,FALSE,FALSE,DUPLICATE_BASENAME_SAME_HASH
assets/logos/backgrounds/topo-black-with-hills.jpg,assets/logos/backgrounds,topo-black-with-hills.jpg,.jpg,70426,0.067,TRUE,,0fbebdb7aefe84e944a2c469ef8064bef1f350e863799c2fbf4dbf014ac91f4a,online_static_site_asset,ONLINE_STATIC_SITE,LIVE_WEBSITE_SHELL_OR_ASSET,TRUE,FALSE,TRUE,FALSE,FALSE,DUPLICATE_BASENAME_SAME_HASH
assets/logos/backgrounds/White Topo 20.jpg,assets/logos/backgrounds,White Topo 20.jpg,.jpg,126701,0.121,TRUE,,edfd244b89dac09f352f638fadcfe00f1003453f38c84e259476ad81b778e888,online_static_site_asset,ONLINE_STATIC_SITE,LIVE_WEBSITE_SHELL_OR_ASSET,TRUE,FALSE,TRUE,FALSE,FALSE,DUPLICATE_BASENAME_SAME_HASH
assets/logos/backgrounds/White Topo 21.jpg,assets/logos/backgrounds,White Topo 21.jpg,.jpg,624188,0.595,TRUE,,8bae364158ac592b8d937107a0eebb9436bf3dbbb1efb2fa9d7a3e684f98b3a7,online_static_site_asset,ONLINE_STATIC_SITE,LIVE_WEBSITE_SHELL_OR_ASSET,TRUE,FALSE,TRUE,FALSE,FALSE,DUPLICATE_BASENAME_SAME_HASH
assets/logos/blm.png,assets/logos,blm.png,.png,150419,0.143,TRUE,,dfc4dad5489c40a53b3a18ea4c78b34572117e5ef116beae0651e47c5716df09,online_static_site_asset,ONLINE_STATIC_SITE,LIVE_WEBSITE_SHELL_OR_ASSET,TRUE,FALSE,TRUE,FALSE,FALSE,DUPLICATE_BASENAME_SAME_HASH
