"source_hunt_number","source_code_family","current_public_le_family","hunt_name","weapon","season","source_boundary_id","candidate_eb_by_boundary_weapon","candidate_eb_by_boundary","candidate_eb_by_name_weapon","recommended_eb_code","recommended_eb_candidates","mapping_confidence","mapping_status","source_file","source_page","note"
"LE0015","LE","EB","Book Cliffs","Archery","Landowner","","","","","EL3002","EL3002","OWNER_RESOLVED","MANUAL_RESOLVED","2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf","1","Historical LE code; public current limited-entry family is EB. Preserve source code for audit. | Manual owner mapping: historical LE private-land row normalized to current EL code."
"LE0001","LE","EB","La Sal, La Sal Mtns","Archery","Landowner","617","EB3009;EB3182","EB3009;EB3045;EB3046;EB3087;EB3111;EB3182;EB3183","EB3009;EB3182","EL3045","EL3045","OWNER_RULE_RESOLVED","MANUAL_RESOLVED_EARLY_EQUIVALENT","2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf","1","Historical LE code; public current limited-entry family is EB. Preserve source code for audit. | Manual owner mapping: historical LE private-land row normalized to current EL code. | Owner rule: resolve to current EL code equivalent to unit early-rifle limited-entry family (EB equivalent)."
"LE0013","LE","EB","Southwest Desert","Archery","Landowner","625","","","","EL3136","EL3136","OWNER_RESOLVED","MANUAL_RESOLVED","2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf","1","Historical LE code; public current limited-entry family is EB. Preserve source code for audit. | Manual owner mapping: historical LE private-land row normalized to current EL code."
"LE0014","LE","EB","Beaver","Any Legal Weapon","Landowner","685","EB3024;EB3025;EB3159","EB3000;EB3024;EB3025;EB3077;EB3102;EB3158;EB3159","","EL3024","EL3024","OWNER_RULE_RESOLVED","MANUAL_RESOLVED_EARLY_EQUIVALENT","2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf","1","Historical LE code; public current limited-entry family is EB. Preserve source code for audit. | Multiple EL candidates share this hunt unit name; owner selection required. | Owner rule applied: historical LE aligned to current EL early-rifle-equivalent limited-entry unit code."
"LE0016","LE","EB","Cache","Any Legal Weapon","Landowner","29","","","","EL3032","EL3032","OWNER_RULE_RESOLVED","MANUAL_RESOLVED_EARLY_EQUIVALENT","2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf","1","Historical LE code; public current limited-entry family is EB. Preserve source code for audit. | Multiple EL candidates share this hunt unit name; owner selection required. | Owner rule applied: historical LE aligned to current EL early-rifle-equivalent limited-entry unit code."
"LE0029","LE","EB","Cache","Any Legal Weapon","Landowner","29","","","","EL3032","EL3032","OWNER_RULE_RESOLVED","MANUAL_RESOLVED_EARLY_EQUIVALENT","2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf","1","Historical LE code; public current limited-entry family is EB. Preserve source code for audit. | Multiple EL candidates share this hunt unit name; owner selection required. | Owner rule applied: historical LE aligned to current EL early-rifle-equivalent limited-entry unit code."
"LE0018","LE","EB","La Sal, La Sal Mtns","Any Legal Weapon","Landowner","617","EB3045;EB3046;EB3183","EB3009;EB3045;EB3046;EB3087;EB3111;EB3182;EB3183","EB3045;EB3046;EB3183","EL3045","EL3045","OWNER_RULE_RESOLVED","MANUAL_RESOLVED_EARLY_EQUIVALENT","2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf","1","Historical LE code; public current limited-entry family is EB. Preserve source code for audit. | Multiple EL candidates share this hunt unit name; owner selection required. | Owner rule: resolve to current EL code equivalent to unit early-rifle limited-entry family (EB equivalent)."
"LE0002","LE","EB","Manti","Any Legal Weapon","Landowner","51","EB3038;EB3039;EB3126","EB3006;EB3038;EB3039;EB3084;EB3108;EB3126;EB3172","EB3038;EB3039;EB3126","EL3038","EL3038","OWNER_RULE_RESOLVED","MANUAL_RESOLVED_EARLY_EQUIVALENT","2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf","1","Historical LE code; public current limited-entry family is EB. Preserve source code for audit. | Multiple EL candidates share this hunt unit name; owner selection required. | Owner rule: resolve to current EL code equivalent to unit early-rifle limited-entry family (EB equivalent)."
"LE0003","LE","EB","Manti","Any Legal Weapon","Landowner","51","EB3038;EB3039;EB3126","EB3006;EB3038;EB3039;EB3084;EB3108;EB3126;EB3172","EB3038;EB3039;EB3126","EL3038","EL3038","OWNER_RULE_RESOLVED","MANUAL_RESOLVED_EARLY_EQUIVALENT","2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf","1","Historical LE code; public current limited-entry family is EB. Preserve source code for audit. | Multiple EL candidates share this hunt unit name; owner selection required. | Owner rule: resolve to current EL code equivalent to unit early-rifle limited-entry family (EB equivalent)."
"LE0004","LE","EB","Manti","Any Legal Weapon","Landowner","51","EB3038;EB3039;EB3126","EB3006;EB3038;EB3039;EB3084;EB3108;EB3126;EB3172","EB3038;EB3039;EB3126","EL3038","EL3038","OWNER_RULE_RESOLVED","MANUAL_RESOLVED_EARLY_EQUIVALENT","2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf","1","Historical LE code; public current limited-entry family is EB. Preserve source code for audit. | Multiple EL candidates share this hunt unit name; owner selection required. | Owner rule: resolve to current EL code equivalent to unit early-rifle limited-entry family (EB equivalent)."
"LE0005","LE","EB","Manti","Any Legal Weapon","Landowner","51","EB3038;EB3039;EB3126","EB3006;EB3038;EB3039;EB3084;EB3108;EB3126;EB3172","EB3038;EB3039;EB3126","EL3038","EL3038","OWNER_RULE_RESOLVED","MANUAL_RESOLVED_EARLY_EQUIVALENT","2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf","1","Historical LE code; public current limited-entry family is EB. Preserve source code for audit. | Multiple EL candidates share this hunt unit name; owner selection required. | Owner rule: resolve to current EL code equivalent to unit early-rifle limited-entry family (EB equivalent)."
"LE0017","LE","EB","Nebo","Any Legal Weapon","Landowner","616","EB3040","EB3040;EB3109","EB3040","EL3175","EL3175","OWNER_RULE_RESOLVED","MANUAL_RESOLVED_EARLY_EQUIVALENT","2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf","1","Historical LE code; public current limited-entry family is EB. Preserve source code for audit. | Multiple EL candidates share this hunt unit name; owner selection required. | Owner rule applied: historical LE aligned to current EL early-rifle-equivalent limited-entry unit code."
"LE0006","LE","EB","San Juan","Any Legal Weapon","Landowner","710","","","","EL3066","EL3066","OWNER_RULE_RESOLVED","MANUAL_RESOLVED_EARLY_EQUIVALENT","2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf","1","Historical LE code; public current limited-entry family is EB. Preserve source code for audit. | Multiple EL candidates share this hunt unit name; owner selection required. | Owner rule applied: historical LE aligned to current EL early-rifle-equivalent limited-entry unit code."
"LE0007","LE","EB","San Juan","Any Legal Weapon","Landowner","710","","","","EL3066","EL3066","OWNER_RULE_RESOLVED","MANUAL_RESOLVED_EARLY_EQUIVALENT","2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf","1","Historical LE code; public current limited-entry family is EB. Preserve source code for audit. | Multiple EL candidates share this hunt unit name; owner selection required. | Owner rule applied: historical LE aligned to current EL early-rifle-equivalent limited-entry unit code."
"LE0008","LE","EB","Wasatch Mtns","Any Legal Weapon","Landowner","222","EB3072;EB3073;EB3127","EB3022;EB3072;EB3073;EB3100;EB3124;EB3127;EB3199","EB3072;EB3073;EB3127","EL3072","EL3072","OWNER_RULE_RESOLVED","MANUAL_RESOLVED_EARLY_EQUIVALENT","2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf","1","Historical LE code; public current limited-entry family is EB. Preserve source code for audit. | Multiple EL candidates share this hunt unit name; owner selection required. | Owner rule: resolve to current EL code equivalent to unit early-rifle limited-entry family (EB equivalent)."
"LE0009","LE","EB","Wasatch Mtns","Any Legal Weapon","Landowner","222","EB3072;EB3073;EB3127","EB3022;EB3072;EB3073;EB3100;EB3124;EB3127;EB3199","EB3072;EB3073;EB3127","EL3072","EL3072","OWNER_RULE_RESOLVED","MANUAL_RESOLVED_EARLY_EQUIVALENT","2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf","1","Historical LE code; public current limited-entry family is EB. Preserve source code for audit. | Multiple EL candidates share this hunt unit name; owner selection required. | Owner rule: resolve to current EL code equivalent to unit early-rifle limited-entry family (EB equivalent)."
"LE0011","LE","EB","Manti","Muzzleloader","Landowner","51","EB3084","EB3006;EB3038;EB3039;EB3084;EB3108;EB3126;EB3172","EB3084","EL3038","EL3038","OWNER_RULE_RESOLVED","MANUAL_RESOLVED_EARLY_EQUIVALENT","2024 ELK LIMITED ENTRY SUPPLEMENTAL HUNTS.pdf","1","Historical LE code; public current limited-entry family is EB. Preserve source code for audit. | Multiple EL candidates share this hunt unit name; owner selection required. | Owner rule: resolve to current EL code equivalent to unit early-rifle limited-entry family (EB equivalent)."
