bucket,hunt_code,hunt_name,species,permit_type,draw_system_type,algorithm_status,present_in_ml_draw_predictions_v1,present_in_draw_reality_engine_predictive_v2,present_in_hunt_master_enriched,present_in_hunt_unit_reference_linked,reason_not_modeled,recommended_action
coverage_seen_not_in_database,BI6517,,,,BONUS_LE_BIG_GAME|BONUS_OIL_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BI6519,,,,BONUS_LE_BIG_GAME|BONUS_OIL_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BI6520,,,,BONUS_LE_BIG_GAME|BONUS_OIL_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BI6521,,,,BONUS_LE_BIG_GAME|BONUS_OIL_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BI6523,,,,BONUS_LE_BIG_GAME|BONUS_OIL_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BI6524,,,,BONUS_LE_BIG_GAME|BONUS_OIL_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BI6526,,,,BONUS_LE_BIG_GAME|BONUS_OIL_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BI6530,,,,BONUS_LE_BIG_GAME|BONUS_OIL_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BI6533,,,,BONUS_OIL_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7008,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7019,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7108,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7208,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7209,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7226,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7227,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7230,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7231,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7232,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7233,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7234,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7235,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,BR7236,,,,BEAR_DRAW,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG0001,Cougar - Statewide OTC (Harvest Reporting: Northwest Manti),Cougar,Statewide OTC,MOUNTAIN_LION_DRAW,MODELED_AVAILABILITY,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG0002,Cougar - Statewide OTC (Harvest Reporting: Nebo),Cougar,Statewide OTC,MOUNTAIN_LION_DRAW,MODELED_AVAILABILITY,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG0006,Cougar - Statewide OTC (Harvest Reporting: Southwest Manti),Cougar,Statewide OTC,MOUNTAIN_LION_DRAW,MODELED_AVAILABILITY,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG0009,Cougar - Statewide OTC (Harvest Reporting: Morgan-South Rich),Cougar,Statewide OTC,MOUNTAIN_LION_DRAW,MODELED_AVAILABILITY,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG0015,"Cougar - Statewide OTC (Harvest Reporting: Wasatch Mtns, Currant Creek-North)",Cougar,Statewide OTC,MOUNTAIN_LION_DRAW,MODELED_AVAILABILITY,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG0016,"Cougar - Statewide OTC (Harvest Reporting: Wasatch Mtns, West-Strawberry)",Cougar,Statewide OTC,MOUNTAIN_LION_DRAW,MODELED_AVAILABILITY,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
