key,value
rows_read_total,404147
rows_written_all_years,26589
rows_written_latest,547
rows_excluded_unaligned,10575
rows_review,9579
rows_block,8845
rows_pass,18740
zero_age_values_removed,0
average_days_false_positive_blocks,0
species_counts,"{""Cougar"":1386,""Elk"":7676,""Black Bear"":16963,""UNKNOWN"":312,""Deer"":642,""Antlerless Elk"":2631,""Mountain Goat"":565,""Moose"":330,""Pronghorn"":1817,""Limited Entry Buck Deer"":318,""Private-Lands Only Antlerless Elk"":285,""Limited Entry Bull Elk"":2481,""Once-in-a-Lifetime Mountain Goat"":322,""Antlerless Moose"":46,""Limited Entry Bull Moose"":133,""Limited Entry Buck Pronghorn"":597,""Doe Pronghorn"":166,""Mule Deer"":246,""Bighorn Sheep"":43,""Desert Bighorn Sheep"":205}"
year_counts,"{""1999"":20,""2000"":25,""2001"":130,""2002"":150,""2003"":155,""2004"":160,""2005"":170,""2006"":160,""2007"":160,""2008"":185,""2009"":265,""2010"":310,""2011"":300,""2012"":315,""2013"":300,""2014"":315,""2015"":345,""2016"":315,""2017"":330,""2018"":325,""2019"":345,""2020"":345,""2021"":8778,""2022"":7866,""2023"":6043,""2024"":1480,""2026"":7029,""UNKNOWN"":843}"
source_file_counts,"{""9cb7bd59__cougar_2022.pdf"":1041,""elk average age.pdf"":640,""24_black_bear_report.pdf"":670,""24_black_bear_mortality_report.pdf"":6210,""harvest_quality_features_black_bear_2024_for_2025.csv"":120,""pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_average_age_2024_extract/ELK_AVERAGE_AGE_HARVEST_2024.csv"":69,""pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_winter_trend_2015_2024_extract/ELK_WINTER_TREND_2015_2024.csv"":174,""C:\\Users\\tyler\\Desktop\\GitHub\\HUNTS\\pipeline\\RAW\\hunt_unit_database\\2025\\pdf\\harvest_report\\2024 ELK AVERAGE AGE HARVEST.pdf"":69,""harvest_results_2021_for_2022_hunt_code_keyed.csv"":2742,""22_black_bear_report.pdf"":942,""968EFF87__2022_le_oial_all.pdf"":3053,""FF6D4B3D__2022_antlerless_hr.pdf"":1085,""2023 Hunt Success.pdf"":4691,""A96251BE__2023_antlerless_hr.pdf"":452,""harvest_quality_features_by_hunt_code_2021_for_2022.csv"":1828,""21_black_bear_report.pdf"":662,""21_bg_report.pdf"":3150,""22_bg_report.pdf"":99,""23_bg_report.pdf"":147,""harvest_quality_features_by_hunt_code_2022_for_2023.csv"":1286,""61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf"":43,""2024_antlerless_hr.csv"":86,""harvest_results_database_feature_readiness_audit.csv"":270,""draw_reality_engine_predictive_with_harvest_features.csv"":3558,""harvest_feature_model_by_hunt_code_2026.csv"":261,""ml_draw_predictions_with_harvest_features.csv"":3471,""dbd8a659__cougar_2023.pdf"":345}"
review_reason_counts,"{""BOUNDARY_ID_MISSING_ALIGNMENT"":10575,""HUNT_CODE_MISSING_NEEDS_CROSSWALK"":927,""COUGAR_UNIT_ONLY_NEEDS_CURRENT_CG_CROSSWALK"":300,""LOW_CONFIDENCE_CROSSWALK"":289,""HUNT_NAME_MISSING"":7174,""HUNT_CODE_MISSING_SCOPE_INVALID"":5313,""SPECIES_MISSING"":312,""YEAR_UNIDENTIFIED"":843,""PROXY_ONLY_NO_AVERAGE_AGE"":7029,""HUNT_CODE_NOT_IN_CURRENT_DATABASE"":1334}"
database_validation,"{""database_csv_found"":true,""database_current_hunt_code_count"":1449,""rows_with_hunt_code_in_database"":26589,""rows_with_hunt_code_not_in_database"":1334}"
crosswalk_validation,"{""crosswalk_found"":true,""crosswalk_rows"":169,""historical_to_current_matches"":162}"
outputs.all_years,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\processed_data\harvest_age_features_by_hunt_code_all_years.csv
outputs.latest,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\processed_data\harvest_age_features_by_hunt_code_latest.csv
outputs.review,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\processed_data\harvest_age_features_by_hunt_code_review.csv
outputs.audit_json,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\processed_data\harvest_age_features_merge_audit.json
outputs.audit_csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\processed_data\harvest_age_features_merge_audit.csv
