name,source_file,role,exists,row_count,size_bytes,size_mb,delivery,href,local_href,cloudflare_href,used_as_current_source
currentDatabase,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,current official/canonical 2026 hunt database,true,not_scanned,596330,0.57,pages-local,./pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,./pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,https://json.uoga.workers.dev/pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,true
currentCanonicalRaw,pipeline/RAW/hunt_unit_database/2026/csv/hunt_master_canonical_2026_built.csv,canonical current hunt source of truth,true,not_scanned,367463,0.35,pages-local,./pipeline/RAW/hunt_unit_database/2026/csv/hunt_master_canonical_2026_built.csv,./pipeline/RAW/hunt_unit_database/2026/csv/hunt_master_canonical_2026_built.csv,https://json.uoga.workers.dev/pipeline/RAW/hunt_unit_database/2026/csv/hunt_master_canonical_2026_built.csv,false
currentCanonicalProcessed,processed_data/hunt-master-canonical-2026-source-of-truth.csv,canonical current hunt source of truth,true,not_scanned,984204,0.94,pages-local,./processed_data/hunt-master-canonical-2026-source-of-truth.csv,./processed_data/hunt-master-canonical-2026-source-of-truth.csv,https://json.uoga.workers.dev/processed_data/hunt-master-canonical-2026-source-of-truth.csv,false
huntDatabaseComplete,processed_data/hunt_database_complete.csv,supporting input,true,not_scanned,507917,0.48,pages-local,./processed_data/hunt_database_complete.csv,./processed_data/hunt_database_complete.csv,https://json.uoga.workers.dev/processed_data/hunt_database_complete.csv,false
huntMasterEnriched,processed_data/hunt_master_enriched.csv,enriched hunt master,true,not_scanned,46220759,44.08,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/hunt_master_enriched.csv,./processed_data/hunt_master_enriched.csv,https://json.uoga.workers.dev/processed_data/hunt_master_enriched.csv,false
huntUnitReferenceLinked,processed_data/hunt_unit_reference_linked.csv,supporting input,true,not_scanned,2355750,2.25,pages-local,./processed_data/hunt_unit_reference_linked.csv,./processed_data/hunt_unit_reference_linked.csv,https://json.uoga.workers.dev/processed_data/hunt_unit_reference_linked.csv,false
drawRealityEngine,processed_data/draw_reality_engine.csv,draw reality engine output,true,not_scanned,22351842,21.32,pages-local,./processed_data/draw_reality_engine.csv,./processed_data/draw_reality_engine.csv,https://json.uoga.workers.dev/processed_data/draw_reality_engine.csv,false
drawRealityEngineV2,processed_data/draw_reality_engine_v2.csv,draw reality engine output,true,not_scanned,44792285,42.72,cloudflare-fallback,https://json.uoga.workers.dev/processed_data/draw_reality_engine_v2.csv,./processed_data/draw_reality_engine_v2.csv,https://json.uoga.workers.dev/processed_data/draw_reality_engine_v2.csv,false
drawRealityEnginePredictive,processed_data/draw_reality_engine_predictive_v2.csv,primary prediction output,true,not_scanned,24507137,23.37,pages-local,./processed_data/draw_reality_engine_predictive_v2.csv,./processed_data/draw_reality_engine_predictive_v2.csv,https://json.uoga.workers.dev/processed_data/draw_reality_engine_predictive_v2.csv,false
mlDrawPredictions,processed_data/ml_draw_predictions_v1.csv,ML prediction output,true,not_scanned,25103892,23.94,pages-local,./processed_data/ml_draw_predictions_v1.csv,./processed_data/ml_draw_predictions_v1.csv,https://json.uoga.workers.dev/processed_data/ml_draw_predictions_v1.csv,false
