unit,unit_name,match_count,hunt_codes
22,Beaver,3,EA1222;EA1223;EA2021
10,Book Cliffs,2,EA1224;EA1225
25C/26,Boulder/Kaiparowits,3,EA1075;EA1076;EA1077
1,Box Elder,6,EA1203;EA1204;EA1266;EA1276;EA2026;EA2046
2,Cache,7,EA1010;EA1011;EA1012;EA1193;EA1206;EA1267;EA2027
6,Chalk Creek,2,EA1026;EA2004
9C,Diamond Mtn,3,EA1089;EA1090;EA2030
5,East Canyon,3,EA1236;EA1272;EA2003
21,Fillmore,4,EA1030;EA1031;EA1209;EA2039
25AB,Fishlake/Thousand Lakes,3,EA1078;EA1079;EA1080
15,Henry Mtns,0,
7,Kamas,4,EA1033;EA1035;EA2033;EA2040
13B,"La Sal, Dolores Triangle",1,EA1037
13A,"La Sal, La Sal Mtns",5,EA1038;EA1039;EA1237;EA1280;EA2009
16B,Manti,12,EA1013;EA1015;EA1017;EA1018;EA1020;EA1022;EA1023;EA1024;EA1025;EA1278;EA1279;EA2011
23,Monroe,1,EA1286
4,Morgan-South Rich,4,EA1044;EA1228;EA1229;EA2002
24,Mt Dutton,3,EA1049;EA1281;EA2017
16A,Nebo,5,EA1021;EA1207;EA1208;EA1226;EA2016
11A,"Nine Mile, Anthro",3,EA1054;EA2008;EA2034
11B,"Nine Mile, Range Creek",3,EA1239;EA1240;EA2029
8A,"North Slope, Summit",2,EA1196;EA1268
8C,"North Slope, Three Corners",3,EA1273;EA1274;EA1277
8B,"North Slope, West Daggett",4,EA1060;EA1061;EA1250;EA2005
3,Ogden,4,EA1063;EA1064;EA1269;EA1282
18,Oquirrh-Stansbury,1,EA2036
28,Panguitch Lake,5,EA1069;EA1283;EA1284;EA1285;EA2018
27,Paunsaugunt,3,EA1073;EA1187;EA2015
30,Pine Valley,1,EA1254
14,San Juan,3,EA1081;EA1082;EA2010
12,San Rafael,1,EA1084
20,Southwest Desert,2,EA1101;EA1251
9BD,Vernal/Bonanza,3,EA1085;EA1087;EA2028
17,Wasatch Mtns,15,EA1106;EA1110;EA1111;EA1112;EA1113;EA1114;EA1189;EA1217;EA1264;EA1265;EA1276;EA2012;EA2013;EA2014;EA2038
19,West Desert,4,EA1101;EA1231;EA1251;EA2019
9A,Yellowstone,4,EA1244;EA1245;EA2006;EA2037
29,Zion,2,EA1117;EA2020
