Unit,Unit name,Bull harvest,Cow harvest,Calf harvest,Total harvest,Hunters afield,Success rate (%)
22,Beaver 7,18,1,26,320,6.0,8.1
10,Book Cliffs 5,0,0,5,64,4.1,7.8
25C/26,Boulder/Kaiparowits 4,14,4,22,232,6.9,9.7
1,Box Elder 2,0,0,2,77,4.3,3.9
2,Cache 11,30,2,43,575,6.1,7.4
6,Chalk Creek 24,0,0,24,242,6.2,9.8
9C,Diamond Mtn 1,0,0,1,30,3.9,4.0
5,East Canyon 31,1,0,32,371,6.1,8.6
21,Fillmore 8,9,0,17,224,5.5,7.6
25AB,Fishlake/Thousand Lakes 17,48,2,67,543,5.7,12.4
15,Henry Mtns 0,0,0,0,6,3.6,0.0
7,Kamas 20,5,0,25,478,5.5,5.2
13B,"La Sal, Dolores Triangle —",,,,0,,
13A,"La Sal, La Sal Mtns 9",12,1,22,267,6.4,8.4
16B,Manti 33,80,15,128,1186,6.1,10.8
23,Monroe 9,23,5,37,348,5.8,10.5
4,Morgan-South Rich 15,1,2,18,228,6.6,7.8
24,Mt Dutton 1,6,0,7,46,6.3,15.4
16A,Nebo 12,35,11,58,433,6.2,13.4
11A,"Nine Mile, Anthro 16",1,0,17,196,5.8,8.4
11B,"Nine Mile, Range Creek 12",4,1,17,157,5.9,10.5
8A,"North Slope, Summit 50",27,7,84,1302,6.6,6.4
8B,"North Slope, West Daggett 30",28,2,60,585,6.9,10.3
3,Ogden 15,4,0,19,292,6.1,6.5
18,Oquirrh-Stansbury 11,6,1,18,196,6.6,9.0
28,Panguitch Lake 11,18,1,30,362,6.2,8.2
30,Pine Valley 2,0,0,2,95,6.6,2.5
14,San Juan 3,8,0,11,208,6.2,5.3
12,San Rafael 1,0,0,1,13,5.7,9.1
20,Southwest Desert 3,15,0,18,149,6.5,11.9
9BD,Vernal/Bonanza 66,18,7,91,863,8.1,10.5
17,Wasatch Mtns 42,85,15,142,1882,5.8,7.5
19,West Desert 2,5,2,9,97,6.5,9.3
9A,Yellowstone 79,14,2,95,835,6.8,11.3
29,Zion 18,6,0,24,334,6.4,7.1
