Unit,Unit name,Bull harvest,Antlerless harvest,Total harvest,Hunters afield,Mean days hunted,Success rate (%)
22,Beaver,172,97,269,1913,5.5,14.1
10,Book Cliffs,215,183,398,1288,4.4,30.9
25C/26,Boulder/Kaiparowits,172,82,254,1256,7.2,20.2
1,Box Elder,122,93,215,950,4.2,22.6
2,Cache,171,220,391,3142,5.5,12.4
6,Chalk Creek,342,559,901,2450,4.1,36.8
9C,Diamond Mtn,108,136,244,678,5.9,36.0
5,East Canyon,185,219,404,2334,4.4,17.3
21,Fillmore,155,166,321,1834,5.7,17.5
25AB,Fishlake/Thousand Lakes,524,250,774,3593,5.4,21.5
15,Henry Mtns,3,0,3,52,4.5,5.8
7,Kamas,101,96,197,2272,4.7,8.7
13B,"La Sal, Dolores Triangle",6,18,24,54,5.0,44.4
13A,"La Sal, La Sal Mtns",183,232,415,1983,5.7,20.9
16B,Manti,1030,795,1825,7963,5.1,22.9
23,Monroe,157,110,267,1663,5.4,16.1
4,Morgan-South Rich,332,645,977,2521,3.5,38.8
24,Mt Dutton,91,60,151,678,6.1,22.3
16A,Nebo,231,305,536,2791,5.9,19.2
11A,"Nine Mile, Anthro",129,29,158,1234,4.6,12.8
11B,"Nine Mile, Range Creek",203,114,317,1340,5.0,23.7
8A,"North Slope, Summit",281,103,384,4675,4.7,8.2
8C,"North Slope, Three Corners",20,0,20,27,6.2,74.1
8B,"North Slope, West Daggett",149,101,250,2476,5.6,10.1
3,Ogden,155,168,323,1685,3.9,19.2
18,Oquirrh-Stansbury,119,93,212,1131,3.6,18.7
28,Panguitch Lake,147,72,219,1940,6.4,11.3
27,Paunsaugunt,56,21,77,680,5.6,11.0
30,Pine Valley,22,17,39,530,5.1,7.4
14,San Juan,131,132,263,1093,5.9,24.1
12,San Rafael,5,0,5,68,4.2,7.4
20,Southwest Desert,187,86,273,1440,6.6,19.0
9BD,Vernal/Bonanza,397,261,658,4620,6.0,14.2
17,Wasatch Mtns,833,643,1475,11351,5.1,13.0
19,West Desert,114,138,252,1411,5.4,17.9
9A,Yellowstone,501,277,778,4384,5.8,17.7
29,Zion,88,128,216,1776,5.8,12.2
Statewide,totals*,7837,6657,14494,66470,5.2,21.8
