Unit,Unit name,Objective,2020,2021,2022,2023,2024
22,Beaver,1150-1350,1200,850,900,900,1000
10,Book Cliffs,7500,5500,5500,4300,5300,5300
25C/26,Boulder/Kaiparowits,1200-1700,1150,1200,1250,1300,1400
1,Box Elder,1075,700,700,900,1150,1250
2,Cache,2300,3000,3350,1950,1600,1800
6,Chalk Creek,3200,3400,4400,4000,4200,4400
9BCD,Diamond Mtn/Vernal/Bonanza,3000,4000,3800,3200,3000,2700
5,East Canyon,1800,2800,3000,2900,2900,2800
21,Fillmore,1450-1750,1400,1350,1400,1500,1450
25AB,Fishlake/Thousand Lakes,5000-5900,5100,5450,4500,4750,5000
15,Henry Mtns,0,25,25,,,
7,Kamas,850,725,1050,1100,1300,1500
13B,"La Sal, Dolores Triangle",700,550,550,800,800,700
13A,"La Sal, La Sal Mtns",1800,2150,2100,1900,1800,1900
16B,Manti,12000,9500,9900,11700,12000,12200
23,Monroe,1000-1400,1150,1100,1100,1100,1100
4,Morgan-South Rich,4200,6900,6700,6760,5800,5700
24,Mt Dutton,1500-2000,1250,1400,1370,1450,1550
16A,Nebo,2200,1850,1700,2400,2350,2350
11A,"Nine Mile, Anthro",700,1100,1100,1200,1100,1200
11B,"Nine Mile, Range Creek",1800,2100,2100,2200,2100,2200
8A,"North Slope, Summit",300,300,750,750,750,200
8C,"North Slope, Three Corners",700,550,600,650,700,800
8B,"North Slope, West Daggett",1300,620,1300,1200,1300,1250
3,Ogden,2000,1750,2200,1950,2100,2200
18,Oquirrh-Stansbury,1650,700,800,1100,1100,1100
28,Panguitch Lake,1000-1500,1450,840,985,1100,1200
27,Paunsaugunt,140,200,200,340,150,140
30,Pine Valley,50,50,50,50,50,75
14,San Juan,1300,1450,1400,1300,1300,1300
12,San Rafael,0,25,,,,
20,Southwest Desert,1050-1250,975,975,975,1000,975
17C,"Wasatch Mtns, Avintaquin",1800,1900,2600,2600,2800,3100
17B,"Wasatch Mtns, Currant Creek",3200,3000,4000,4300,4400,4600
17A,"Wasatch Mtns, West",3400,3400,3500,3500,3500,3700
19A,"West Desert, Deep Creek",350,200,200,200,350,350
9A,Yellowstone,3500,7400,7400,7400,3000,3100
29,Zion,300,800,800,630,600,550
Statewide,totals,79965,80320,84390,83760,80600,82140
