source,id,title,href,folder_id,type,year,size_bytes,visible_in_public_library,curation_status,recommendation
public_library_allowlist,rules-biggame-2025,Utah DWR 2025 Big Game Guidebook,./public/hard-copy/regulations/2026/2025.regs.biggame.pdf,rules,pdf,2025-26,3549167,true,public_useful|duplicate,Keep one canonical public entry and hide duplicates.
public_library_allowlist,rules-biggame-app-2026,Utah DWR 2026 Big Game Application Guidebook,./public/hard-copy/regulations/2026/2026.biggame.app.pdf,rules,pdf,2026,3321983,true,public_useful|duplicate,Keep one canonical public entry and hide duplicates.
public_library_allowlist,rules-bear-cougar-2026,Utah DWR 2026 Bear / Cougar Guidebook,./public/hard-copy/regulations/2026/2026.regs.cougar.bear.pdf,rules,pdf,2026,3008040,true,public_useful|duplicate,Keep one canonical public entry and hide duplicates.
public_library_allowlist,rules-fishing-2026,Utah DWR 2026 Fishing Guidebook,./public/hard-copy/regulations/2026/2026.regs.fishing.pdf,rules,pdf,2026,3820278,true,public_useful|duplicate,Keep one canonical public entry and hide duplicates.
public_library_allowlist,rules-turkey-2026,Utah DWR 2026 Turkey Guidebook,./public/hard-copy/regulations/2026/2026.regs.turkey.pdf,rules,pdf,2026,1647329,true,public_useful|duplicate,Keep one canonical public entry and hide duplicates.
public_library_allowlist,harvest-summary-xlsx-2025,2025 Harvest Summary Workbook,./public/hard-copy/data/2025_harvest_summary_public.xlsx,harvest,xlsx,2025,18382,true,public_useful|duplicate,Keep one canonical public entry and hide duplicates.
public_library_allowlist,harvest-prelim-report-2025,2025 Preliminary Big Game Harvest Report,./processed_data/hard_data_exports/source_pdfs/harvest_report/2025/2025-preliminary-big-game-harvest-report.pdf,harvest,pdf,2025,,true,public_useful|duplicate|broken_link,Fix or remove broken public library link before display.
public_library_allowlist,draw-summary-xlsx-2025,2025 Draw Results Summary Workbook,./public/hard-copy/data/2025_draw_results_summary_public.xlsx,draw,xlsx,2025,19875,true,public_useful|duplicate,Keep one canonical public entry and hide duplicates.
public_library_allowlist,draw-big-game-2025,2025 Big Game Draw Results,./processed_data/hard_data_exports/source_pdfs/draw_odds/2025/2025-big-game-draw-results.pdf,draw,pdf,2025,,true,public_useful|duplicate|broken_link,Fix or remove broken public library link before display.
public_library_allowlist,draw-general-deer-2025,2025 Buck Deer General Season Draw Results,./processed_data/hard_data_exports/source_pdfs/draw_odds/2025/2025-buck-deer-general-season-draw-results.pdf,draw,pdf,2025,,true,public_useful|duplicate|broken_link,Fix or remove broken public library link before display.
public_library_allowlist,conservation-main,2025-27 Conservation Permits,./processed_data/hard_data_exports/source_pdfs/regulations/2025/2025-27-conservation-permits.pdf,conservation,pdf,2025-27,,true,public_useful|duplicate|broken_link,Fix or remove broken public library link before display.
public_library_allowlist,expo-permit-results-2025,Hunt Expo Permit Bundles Workbook,./processed_data/hard_data_exports/unit_specific_conservation_expo_bundles.xlsx,expo,xlsx,2026,6769,true,public_useful|duplicate,Keep one canonical public entry and hide duplicates.
public_library_allowlist,calendar-dwr-2026,Utah DWR Calendar,https://calendar.google.com/calendar/u/0/embed?height=600&wkst=1&bgcolor=%23FFFFFF&src=utah.gov_95qrjmfvfifbq6mkg1e41lnrno@group.calendar.google.com&color=%231B887A&src=utah.gov_l1ndc1a2r58v1t6g7ac3na96s8@group.calendar.google.com&color=%23856508&src=utah.gov_e55anhcr6q7nrgte2f30h2o2lo@group.calendar.google.com&color=%23B1440E&src=utah.gov_v0i790s35jhgef7nqbrthvgnf8@group.calendar.google.com&color=%23333333&src=utah.gov_a4abp8ma2mmcjuhd5jgftto3to@group.calendar.google.com&color=%23A32929&ctz=America/Denver&pli=1,calendar,iframe,2026,,true,public_useful,Public-useful under current library rules.
public_library_allowlist,units-workbook-2026,2026 Hunt Units / Permit Numbers Workbook,./public/hard-copy/data/2026_hunt_units_permit_numbers.xlsx,units2026,xlsx,2026,559643,true,public_useful|duplicate,Keep one canonical public entry and hide duplicates.
public_library_allowlist,outfitters-workbook-2026,Utah Outfitters by Hunt Code / Hunt Name Workbook,./public/hard-copy/data/utah_outfitters_by_hunt_code_hunt_name.xlsx,outfitters,xlsx,2026,21785,true,duplicate|public_but_categorize_better,Keep one canonical public entry and hide duplicates.
public_library_allowlist,units2026-hunt-table-pdf-2026-bison-cow-oil,2026 BISON COW O.I.L,./processed_data/hard_data_exports/hunt_tables/2026/PDF'S/2026 BISON COW O.I.L.pdf,units2026,pdf,2026,3419,true,public_useful|duplicate,Keep one canonical public entry and hide duplicates.
