key_id,topic,metric,value,unit,effective_period,management_implication,model_use_guidance,source_document,source_page,evidence_excerpt
ELK_PLAN_SCOPE_2022_2032,Plan Scope,Plan Effective Period,December 2022 through December 2032,date range,2022-12 to 2032-12,Use as active statewide elk policy baseline.,Policy context only; not direct p_draw input.,elk_plan.pdf,2,"Approved on December 1, 2022 and in effect for 10 years until December 2032."
ELK_MIDPLAN_REVIEW_2026,Plan Governance,Mid-plan review timing,Spring 2026,scheduled review,mid-plan governance,Expect structured policy review cycle.,Change-monitoring checkpoint only.,elk_plan.pdf,2,"Two mid-plan reviews spaced 3-4 years apart, scheduled in spring 2026."
ELK_STATEWIDE_POP_EST,Population Status,Current statewide elk population estimate,84390,elk,plan baseline,State-level abundance anchor.,Context signal only.,elk_plan.pdf,5,"Current statewide population estimated at approximately 84,390 animals."
ELK_STATEWIDE_POP_OBJECTIVE,Population Objective,Statewide population objective (sum of unit objectives),78990,elk,plan baseline,Herd units roll up into statewide objective.,Management context; not direct draw mechanic.,elk_plan.pdf,10,"Current population objective for elk statewide is 78,990."
ELK_HISTORIC_GROWTH_1975_1990,Population Trend,Historical growth from 1975 to 1990,18000 to 58000 (annual growth rate 1.08),elk and growth rate,1975-1990,High historical growth phase from low baseline.,Historical context only.,elk_plan.pdf,5,"Population grew from about 18,000 to 58,000 (average annual growth rate 1.08)."
ELK_GENERAL_PERMITS_2022_TOTAL,General Season Opportunity,General season permits issued,over 47000,permits,2022,High-opportunity general-season lane is foundational.,Opportunity context only.,elk_plan.pdf,4,"Issued over 47,000 general season permits in 2022."
ELK_GENERAL_PERMITS_2022_BREAKDOWN,General Season Opportunity,2022 permit mix breakdown,17500 adult any bull; over 2200 youth any bull; 15000 spike; over 12700 archery,permits,2022,Permit-mix design drives access pattern.,Policy mix context only.,elk_plan.pdf,4,"Permit categories listed for adult any bull, youth any bull, spike, and archery."
ELK_GENERAL_SUCCESS_2021,Harvest Performance,General season hunter success (all general season elk hunts),15.5,percent,2021,Baseline opportunity yield is modest.,Use as descriptive baseline.,elk_plan.pdf,4,Success rates in 2021 averaged 15.5% across general season elk hunts.
ELK_GENERAL_2021_HARVEST_HUNTERS,Harvest Performance,General season harvest and hunters afield,5755 harvested by 37211 hunters,elk and hunters,2021,Denominator context for success rates.,Validation context only.,elk_plan.pdf,4,"5,755 elk harvested by 37,211 hunters afield."
ELK_ARCHERY_SUCCESS_2021,Harvest Performance,Archery hunter success,11.4,percent,2021,Archery is lowest-success general lane in cited baseline.,Comparative context only.,elk_plan.pdf,4,Archery hunters recorded the lowest success rates (11.4%).
ELK_MULTI_SEASON_SUCCESS_SPIKE,Harvest Performance,Multi-season spike success,22.9,percent,2021,Multi-season improves access yield for spike hunters.,Program-effect context only.,elk_plan.pdf,4,Multi-season spike only success was 22.9%.
ELK_MULTI_SEASON_SUCCESS_ANY_BULL,Harvest Performance,Multi-season any bull success,28.2,percent,2021,Highest success in cited general-season categories.,Program-effect context only.,elk_plan.pdf,4,Multi-season any bull success was 28.2%.
ELK_LE_AGE_MANAGEMENT_CORE,Limited Entry Management,Traditional LE units managed by average age of harvested bulls,true,policy,active management framework,Age objectives are central to LE permit decisions.,Quality-score context feature.,elk_plan.pdf,4,Traditional limited entry units are managed for average age of harvested bulls.
ELK_ANTLER_GROWTH_96_BY_6_5,Biological Basis,Average antler growth achieved by age 6.5,96,percent,biological reference,Supports lower age objective tradeoff rationale.,Biological context only.,elk_plan.pdf,4,Most bulls achieved 96% of antler growth potential by 6.5 years old.
ELK_MAINBEAM_97_BY_6_5,Biological Basis,Main beam length achieved by age 6.5,97,percent,biological reference,Supports age-structure policy decisions.,Biological context only.,elk_plan.pdf,4,97% of main beam length achieved by 6.5 years old.
ELK_ANTLER_PLATEAU_AFTER_8_5,Biological Basis,Main beam length increase after age 8.5,no increase,trend,biological reference,Very old age classes offer limited additional antler gain.,Quality context only.,elk_plan.pdf,4,Length does not increase after an elk reaches 8.5 years old.
ELK_OPPORTUNITY_FROM_LOWERING_AGE_OBJ,Permit Governance,Estimated opportunity gain from lowering age objectives by one year,40-50,percent,committee rationale,Explicit policy tradeoff between age target and opportunity.,Policy context only.,elk_plan.pdf,4,Lowering age objectives by one year can increase opportunity by 40-50%.
